timestamps,consumption,prices
2019-01-01 00:00:00,43273.75,28.32
2019-01-01 01:00:00,41631.25,10.07
2019-01-01 02:00:00,40085.0,-4.08
2019-01-01 03:00:00,39269.75,-9.91
2019-01-01 04:00:00,39032.75,-7.41
2019-01-01 05:00:00,38570.5,-12.55
2019-01-01 06:00:00,38047.5,-17.25
2019-01-01 07:00:00,38756.0,-15.07
2019-01-01 08:00:00,39575.25,-4.93
2019-01-01 09:00:00,42119.25,-6.33
2019-01-01 10:00:00,44866.5,-4.93
2019-01-01 11:00:00,47785.25,0.45
2019-01-01 12:00:00,49116.75,0.12
2019-01-01 13:00:00,48786.0,-0.02
2019-01-01 14:00:00,48528.5,0.0
2019-01-01 15:00:00,48983.0,-0.03
2019-01-01 16:00:00,50727.0,1.97
2019-01-01 17:00:00,53893.25,9.06
2019-01-01 18:00:00,54658.25,0.07
2019-01-01 19:00:00,53663.5,-4.97
2019-01-01 20:00:00,51355.5,-6.98
2019-01-01 21:00:00,49733.5,-24.93
2019-01-01 22:00:00,48741.5,-4.87
2019-01-01 23:00:00,45919.25,-28.93
2019-01-02 00:00:00,43719.75,-33.57
2019-01-02 01:00:00,42213.25,-45.92
2019-01-02 02:00:00,41807.25,-48.29
2019-01-02 03:00:00,42330.75,-44.99
2019-01-02 04:00:00,43758.0,-48.93
2019-01-02 05:00:00,46896.0,-29.91
2019-01-02 06:00:00,52714.0,-0.01
2019-01-02 07:00:00,58136.5,37.43
2019-01-02 08:00:00,61514.25,48.06
2019-01-02 09:00:00,63429.25,50.74
2019-01-02 10:00:00,64466.0,47.57
2019-01-02 11:00:00,65756.0,43.94
2019-01-02 12:00:00,66016.25,40.97
2019-01-02 13:00:00,65282.5,44.95
2019-01-02 14:00:00,64117.5,49.64
2019-01-02 15:00:00,64010.0,53.67
2019-01-02 16:00:00,65227.25,56.01
2019-01-02 17:00:00,68510.25,56.95
2019-01-02 18:00:00,68247.5,62.08
2019-01-02 19:00:00,66478.0,62.11
2019-01-02 20:00:00,62719.75,57.99
2019-01-02 21:00:00,59541.75,55.64
2019-01-02 22:00:00,57643.25,55.13
2019-01-02 23:00:00,53959.25,50.76
2019-01-03 00:00:00,51008.0,42.91
2019-01-03 01:00:00,50046.5,45.22
2019-01-03 02:00:00,49751.5,45.63
2019-01-03 03:00:00,49641.0,44.0
2019-01-03 04:00:00,50417.25,43.88
2019-01-03 05:00:00,53021.75,45.92
2019-01-03 06:00:00,57841.25,51.07
2019-01-03 07:00:00,62218.5,52.77
2019-01-03 08:00:00,64800.5,62.89
2019-01-03 09:00:00,66152.5,60.03
2019-01-03 10:00:00,66815.0,58.19
2019-01-03 11:00:00,67815.5,62.99
2019-01-03 12:00:00,68012.5,63.52
2019-01-03 13:00:00,66870.0,64.67
2019-01-03 14:00:00,65817.5,65.24
2019-01-03 15:00:00,65260.5,67.76
2019-01-03 16:00:00,66578.75,68.41
2019-01-03 17:00:00,69665.5,69.55
2019-01-03 18:00:00,69337.0,67.28
2019-01-03 19:00:00,67354.0,69.46
2019-01-03 20:00:00,63667.0,68.38
2019-01-03 21:00:00,60674.75,61.72
2019-01-03 22:00:00,58432.25,53.72
2019-01-03 23:00:00,55109.25,49.98
2019-01-04 00:00:00,51952.5,50.73
2019-01-04 01:00:00,50064.75,47.11
2019-01-04 02:00:00,49507.5,47.07
2019-01-04 03:00:00,49910.75,46.94
2019-01-04 04:00:00,51006.75,47.0
2019-01-04 05:00:00,53476.5,46.91
2019-01-04 06:00:00,58351.75,49.59
2019-01-04 07:00:00,63758.5,55.32
2019-01-04 08:00:00,66921.0,55.78
2019-01-04 09:00:00,68494.5,55.52
2019-01-04 10:00:00,69278.5,55.23
2019-01-04 11:00:00,69847.5,53.58
2019-01-04 12:00:00,70270.25,51.74
2019-01-04 13:00:00,69058.5,51.6
2019-01-04 14:00:00,67290.0,51.41
2019-01-04 15:00:00,66557.75,51.69
2019-01-04 16:00:00,67897.0,52.59
2019-01-04 17:00:00,70008.75,54.66
2019-01-04 18:00:00,69308.75,54.1
2019-01-04 19:00:00,67292.25,51.89
