timestamps,consumption,prices
2018-01-01 00:00:00,22.98,45.82
2018-01-01 01:00:00,21.81,44.16
2018-01-01 02:00:00,20.76,42.24
2018-01-01 03:00:00,19.97,39.29
2018-01-01 04:00:00,19.49,36.0
2018-01-01 05:00:00,19.84,41.99
2018-01-01 06:00:00,21.1,42.25
2018-01-01 07:00:00,22.1,44.97
2018-01-01 08:00:00,22.4,45.0
2018-01-01 09:00:00,23.59,44.94
2018-01-01 10:00:00,24.37,45.02
2018-01-01 11:00:00,24.96,45.71
2018-01-01 12:00:00,25.06,46.7
2018-01-01 13:00:00,23.9,43.98
2018-01-01 14:00:00,23.49,44.96
2018-01-01 15:00:00,23.76,47.53
2018-01-01 16:00:00,25.24,49.91
2018-01-01 17:00:00,29.1,54.3
2018-01-01 18:00:00,30.35,51.91
2018-01-01 19:00:00,30.97,51.38
2018-01-01 20:00:00,30.34,49.2
2018-01-01 21:00:00,28.82,45.73
2018-01-01 22:00:00,26.54,44.84
2018-01-01 23:00:00,24.05,38.11
2018-01-02 00:00:00,28.54,43.05
2018-01-02 01:00:00,26.88,39.85
2018-01-02 02:00:00,26.02,37.33
2018-01-02 03:00:00,25.78,37.5
2018-01-02 04:00:00,25.98,37.9
2018-01-02 05:00:00,27.56,40.16
2018-01-02 06:00:00,32.63,46.45
2018-01-02 07:00:00,38.9,51.22
2018-01-02 08:00:00,43.01,52.23
2018-01-02 09:00:00,44.28,50.05
2018-01-02 10:00:00,43.67,49.38
2018-01-02 11:00:00,43.11,48.35
2018-01-02 12:00:00,40.7,47.43
2018-01-02 13:00:00,40.17,46.83
2018-01-02 14:00:00,41.5,48.54
2018-01-02 15:00:00,42.46,48.9
2018-01-02 16:00:00,43.28,50.23
2018-01-02 17:00:00,44.37,53.78
2018-01-02 18:00:00,45.28,55.94
2018-01-02 19:00:00,44.1,54.66
2018-01-02 20:00:00,41.49,51.64
2018-01-02 21:00:00,38.34,47.57
2018-01-02 22:00:00,34.63,44.77
2018-01-02 23:00:00,30.98,43.05
2018-01-03 00:00:00,29.37,80.79
2018-01-03 01:00:00,27.62,76.66
2018-01-03 02:00:00,26.76,75.11
2018-01-03 03:00:00,26.6,69.0
2018-01-03 04:00:00,26.77,60.4
2018-01-03 05:00:00,28.31,68.01
2018-01-03 06:00:00,32.86,90.28
2018-01-03 07:00:00,38.28,93.54
2018-01-03 08:00:00,43.33,102.44
2018-01-03 09:00:00,44.37,112.03
2018-01-03 10:00:00,44.15,108.35
2018-01-03 11:00:00,43.85,109.54
2018-01-03 12:00:00,41.5,96.81
2018-01-03 13:00:00,40.95,96.69
2018-01-03 14:00:00,42.39,98.39
2018-01-03 15:00:00,43.02,110.48
2018-01-03 16:00:00,43.85,98.52
2018-01-03 17:00:00,43.97,99.14
2018-01-03 18:00:00,45.69,99.95
2018-01-03 19:00:00,45.04,105.25
2018-01-03 20:00:00,42.5,99.98
2018-01-03 21:00:00,39.42,91.69
2018-01-03 22:00:00,35.36,85.0
2018-01-03 23:00:00,31.89,76.26
2018-01-04 00:00:00,22.93,40.33
2018-01-04 01:00:00,21.26,33.08
2018-01-04 02:00:00,20.2,25.85
2018-01-04 03:00:00,19.76,19.19
2018-01-04 04:00:00,19.55,17.81
2018-01-04 05:00:00,19.72,27.2
2018-01-04 06:00:00,20.17,29.93
2018-01-04 07:00:00,20.32,25.79
2018-01-04 08:00:00,22.06,26.32
2018-01-04 09:00:00,23.21,25.7
2018-01-04 10:00:00,23.7,16.97
2018-01-04 11:00:00,23.78,16.57
2018-01-04 12:00:00,23.28,11.31
2018-01-04 13:00:00,21.4,9.87
2018-01-04 14:00:00,20.61,9.29
2018-01-04 15:00:00,20.75,6.97
2018-01-04 16:00:00,21.21,9.71
2018-01-04 17:00:00,22.26,35.56
2018-01-04 18:00:00,23.71,48.15
2018-01-04 19:00:00,26.01,56.63
2018-01-04 20:00:00,28.61,75.53
2018-01-04 21:00:00,27.84,74.39
2018-01-04 22:00:00,26.0,59.99
2018-01-04 23:00:00,23.74,54.59
2018-01-05 00:00:00,23.22,48.73
2018-01-05 01:00:00,21.66,45.5
2018-01-05 02:00:00,20.83,36.0
2018-01-05 03:00:00,20.43,30.0
2018-01-05 04:00:00,20.19,35.93
2018-01-05 05:00:00,20.36,39.41
2018-01-05 06:00:00,19.96,37.98
2018-01-05 07:00:00,21.19,42.84
2018-01-05 08:00:00,22.84,43.84
2018-01-05 09:00:00,23.91,40.85
2018-01-05 10:00:00,24.32,40.36
2018-01-05 11:00:00,24.47,35.49
2018-01-05 12:00:00,24.24,32.51
2018-01-05 13:00:00,23.24,28.77
2018-01-05 14:00:00,22.8,28.1
2018-01-05 15:00:00,22.7,30.0
2018-01-05 16:00:00,22.94,34.02
2018-01-05 17:00:00,23.63,43.99
2018-01-05 18:00:00,24.98,51.0
2018-01-05 19:00:00,26.65,56.63
2018-01-05 20:00:00,28.8,61.77
2018-01-05 21:00:00,28.61,61.1
2018-01-05 22:00:00,26.52,56.28
2018-01-05 23:00:00,24.12,47.85
2018-01-06 00:00:00,29.68,60.61
2018-01-06 01:00:00,28.2,52.82
2018-01-06 02:00:00,27.24,43.42
2018-01-06 03:00:00,26.88,42.93
2018-01-06 04:00:00,26.97,43.05
2018-01-06 05:00:00,27.21,44.14
2018-01-06 06:00:00,30.39,57.0
2018-01-06 07:00:00,35.14,67.14
2018-01-06 08:00:00,39.76,77.35
2018-01-06 09:00:00,40.8,71.56
2018-01-06 10:00:00,40.86,67.14
2018-01-06 11:00:00,40.47,64.06
2018-01-06 12:00:00,38.58,56.02
2018-01-06 13:00:00,38.31,56.02
2018-01-06 14:00:00,39.29,59.41
2018-01-06 15:00:00,39.95,64.87
2018-01-06 16:00:00,40.17,67.14
2018-01-06 17:00:00,39.6,66.97
2018-01-06 18:00:00,39.38,72.33
2018-01-06 19:00:00,38.32,78.06
2018-01-06 20:00:00,37.93,78.23
2018-01-06 21:00:00,37.56,73.34
2018-01-06 22:00:00,34.8,69.07
2018-01-06 23:00:00,31.54,57.34
2018-01-07 00:00:00,28.82,64.94
2018-01-07 01:00:00,27.21,52.97
2018-01-07 02:00:00,25.99,51.81
2018-01-07 03:00:00,25.33,54.6
2018-01-07 04:00:00,24.94,51.48
2018-01-07 05:00:00,24.29,45.05
2018-01-07 06:00:00,23.92,40.21
2018-01-07 07:00:00,25.09,42.92
2018-01-07 08:00:00,26.47,44.76
2018-01-07 09:00:00,27.68,52.66
2018-01-07 10:00:00,28.26,56.91
2018-01-07 11:00:00,28.59,54.98
2018-01-07 12:00:00,28.5,52.29
2018-01-07 13:00:00,27.74,48.03
2018-01-07 14:00:00,27.33,44.1
2018-01-07 15:00:00,27.39,49.11
