timestamps,consumption,prices
2020-01-01 00:00:00,36824.115099,11.27
2020-01-01 01:00:00,36531.366488,10.04
2020-01-01 02:00:00,36072.16502,9.58
2020-01-01 03:00:00,35836.161867,9.95
2020-01-01 04:00:00,35998.542722,10.22
2020-01-01 05:00:00,36487.035645,10.79
2020-01-01 06:00:00,37099.051655,13.42
2020-01-01 07:00:00,37448.435337,14.31
2020-01-01 08:00:00,37988.181062,14.43
2020-01-01 09:00:00,39005.532595,14.63
2020-01-01 10:00:00,40011.210673,14.22
2020-01-01 11:00:00,40405.057113,13.52
2020-01-01 12:00:00,40320.725177,12.65
2020-01-01 13:00:00,39905.447776,11.94
2020-01-01 14:00:00,39384.852861,11.6
2020-01-01 15:00:00,39038.271821,10.74
2020-01-01 16:00:00,39255.080489,12.08
2020-01-01 17:00:00,40736.82994,15.91
2020-01-01 18:00:00,41737.743128,16.3
2020-01-01 19:00:00,41273.480684,15.11
2020-01-01 20:00:00,40551.189171,14.08
2020-01-01 21:00:00,39382.303166,12.72
2020-01-01 22:00:00,37563.3057,13.53
2020-01-01 23:00:00,35603.631407,15.19
2020-01-02 00:00:00,34151.028287,10.3
2020-01-02 01:00:00,33204.504063,6.17
2020-01-02 02:00:00,32658.810864,5.97
2020-01-02 03:00:00,32639.905204,6.74
2020-01-02 04:00:00,33313.146671,8.79
2020-01-02 05:00:00,34942.492488,10.58
2020-01-02 06:00:00,37070.516246,13.54
2020-01-02 07:00:00,38651.451808,16.45
2020-01-02 08:00:00,39115.172738,18.39
2020-01-02 09:00:00,39527.372478,17.22
2020-01-02 10:00:00,39860.83526,17.78
2020-01-02 11:00:00,39852.138623,16.14
2020-01-02 12:00:00,39570.07653,16.17
2020-01-02 13:00:00,39319.896118,16.14
2020-01-02 14:00:00,38907.993737,16.91
2020-01-02 15:00:00,38571.27757,15.89
2020-01-02 16:00:00,38604.130006,17.51
2020-01-02 17:00:00,39694.177016,25.61
2020-01-02 18:00:00,41077.231222,28.34
2020-01-02 19:00:00,40731.480649,20.38
2020-01-02 20:00:00,40179.219865,18.61
2020-01-02 21:00:00,39226.111213,17.93
2020-01-02 22:00:00,37620.040824,18.37
2020-01-02 23:00:00,35828.325077,18.49
2020-01-03 00:00:00,34564.613561,14.18
2020-01-03 01:00:00,33758.910328,12.95
2020-01-03 02:00:00,33419.493194,12.38
2020-01-03 03:00:00,33529.851479,12.3
2020-01-03 04:00:00,34275.835756,12.65
2020-01-03 05:00:00,36127.221995,12.53
2020-01-03 06:00:00,38469.206106,20.99
2020-01-03 07:00:00,40194.924517,19.13
2020-01-03 08:00:00,40702.749075,19.1
2020-01-03 09:00:00,40654.922797,17.78
2020-01-03 10:00:00,40371.279886,15.1
2020-01-03 11:00:00,39709.339444,14.07
2020-01-03 12:00:00,38974.612509,13.96
2020-01-03 13:00:00,38423.433744,13.69
2020-01-03 14:00:00,38006.256602,13.64
2020-01-03 15:00:00,37716.577607,13.63
2020-01-03 16:00:00,37691.001313,14.15
2020-01-03 17:00:00,38896.9885,21.32
2020-01-03 18:00:00,40642.145238,19.98
2020-01-03 19:00:00,40655.268856,21.2
