prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
55.26,57.94,28.28,24.71,0.5,0.0,11.74,16.54,0.0,648.75
54.2,51.61,26.75,28.88,0.250043,0.0,11.74,15.01,0.0,636.31
52.7,43.8,25.94,27.02,8.5e-05,0.0,0.0,25.94,0.0,0.0
49.97,39.99,25.71,26.42,8.5e-05,12.36,0.0,38.07,0.0,-617.63
49.43,37.56,25.94,26.25,0.237585,12.36,0.0,38.3,0.0,-610.95
54.83,36.48,27.52,26.49,0.475085,12.36,0.0,39.88,0.0,-677.7
62.9,37.04,32.56,29.2,0.712585,12.36,0.0,44.92,0.0,-777.44
66.69,40.17,39.06,33.67,0.950085,0.0,0.0,39.06,0.0,0.0
79.2,45.1,43.42,39.0,0.950085,0.0,0.0,43.42,0.0,0.0
80.08,48.95,44.75,43.02,0.950085,0.0,11.74,33.01,0.0,940.14
73.25,50.59,44.39,44.46,0.700128,0.0,11.74,32.65,0.0,859.96
74.7,50.7,43.98,44.15,0.45017,0.0,0.0,43.98,0.0,0.0
66.92,49.04,41.52,43.37,0.45017,0.0,0.0,41.52,0.0,0.0
63.03,47.0,40.86,41.58,0.45017,12.36,0.0,53.22,0.0,-779.05
69.66,45.51,42.03,41.13,0.68767,12.36,0.0,54.39,0.0,-861.0
68.93,45.3,42.43,42.16,0.92517,0.0,0.0,42.43,0.0,0.0
66.55,47.03,43.04,42.89,0.92517,0.0,0.0,43.04,0.0,0.0
73.22,50.02,44.49,43.81,0.92517,0.0,11.74,32.75,0.0,859.6
79.08,53.27,45.65,44.94,0.675213,0.0,11.74,33.91,0.0,928.4
74.28,56.03,44.12,44.83,0.425255,0.0,11.74,32.38,0.0,872.05
69.37,56.07,40.78,43.78,0.175298,0.0,8.2334,32.5466,0.0,571.15
63.58,53.14,37.5,41.45,0.0,0.0,0.0,37.5,0.0,0.0
59.46,49.73,33.73,38.48,0.0,0.0,0.0,33.73,0.0,0.0
54.11,46.41,30.36,35.01,0.0,0.0,0.0,30.36,0.0,0.0
48.33,42.25,28.41,30.94,0.5,12.36,0.0,40.77,0.0,-597.36
46.1,59.75,26.85,25.62,0.7375,0.0,9.92,16.93,0.0,457.31
44.81,66.67,26.0,22.18,0.526292,0.0,12.36,13.64,0.0,553.85
44.14,63.21,25.76,21.08,0.263134,0.0,12.3589,13.4011,0.0,545.52
44.56,56.94,26.12,20.91,0.0,0.0,0.0,26.12,0.0,0.0
47.6,44.08,27.54,21.01,0.0,12.36,0.0,39.9,0.0,-588.34
60.5,44.04,32.36,21.47,0.2375,12.36,0.0,44.72,0.0,-747.78
59.62,49.03,37.28,22.84,0.475,12.36,0.0,49.64,0.0,-736.9
62.84,59.52,41.42,26.15,0.7125,0.0,8.75,32.67,0.0,549.85
