prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
26.8,44.37,13893.49,15511.62,0.5,1.14,0.0,13894.63,0.0,-30.55
21.09,43.11,13569.41,15207.79,0.521905,10.78,0.0,13580.19,0.0,-227.35
18.19,43.24,13285.34,14532.0,0.729045,10.78,0.0,13296.12,0.0,-196.09
26.06,44.97,13271.84,14864.32,0.936185,0.0,0.0,13271.84,0.0,0.0
24.5,45.85,13465.3,15227.48,0.936185,0.0,0.0,13465.3,0.0,0.0
26.1,53.21,13977.97,16158.5,0.936185,0.0,0.0,13977.97,0.0,0.0
17.23,51.41,14576.96,16910.47,0.936185,0.0,0.0,14576.96,0.0,0.0
25.83,78.44,15257.69,17770.45,0.936185,0.0,10.78,15246.91,0.0,278.45
26.39,48.99,15805.81,18329.05,0.706667,10.78,0.0,15816.59,0.0,-284.48
28.03,62.66,16092.91,17595.5,0.913807,0.0,10.78,16082.13,0.0,302.16
32.49,58.9,16230.66,18391.19,0.684289,0.0,0.0,16230.66,0.0,0.0
34.38,59.42,16122.77,18153.9,0.684289,0.0,7.58,16115.19,0.0,260.6
34.36,58.34,16148.71,17055.65,0.522903,0.0,0.0,16148.71,0.0,0.0
39.96,57.37,16091.07,17018.78,0.522903,0.0,0.0,16091.07,0.0,0.0
41.36,55.72,16311.7,16730.96,0.522903,0.0,0.0,16311.7,0.0,0.0
38.94,54.23,16877.87,17813.62,0.522903,0.0,0.0,16877.87,0.0,0.0
61.28,90.16,18054.27,18797.76,0.522903,0.0,10.78,18043.49,0.0,660.6
62.5,69.53,18608.81,19240.79,0.293385,0.0,10.78,18598.03,0.0,673.75
38.83,47.64,18364.51,18773.41,0.063867,0.0,0.0,18364.51,0.0,0.0
71.26,45.05,17933.98,18188.91,0.063867,0.0,0.0,17933.98,0.0,0.0
29.69,34.58,17254.86,18184.24,0.063867,10.78,0.0,17265.64,0.0,-320.06
28.9,42.11,16477.31,17438.33,0.271007,0.0,9.73,16467.58,0.0,281.2
29.91,31.91,15465.74,16313.58,0.063845,0.0,0.0,15465.74,0.0,0.0
28.91,32.93,14666.28,15435.91,0.063845,0.0,0.0,14666.28,0.0,0.0
31.13,44.19,14085.47,15235.6,0.5,1.14,0.0,14086.61,0.0,-35.49
26.1,43.01,13660.45,14754.44,0.521905,10.78,0.0,13671.23,0.0,-281.36
23.28,42.63,13412.81,13667.78,0.729045,10.78,0.0,13423.59,0.0,-250.96
25.99,44.97,13545.83,14719.4,0.936185,0.0,0.0,13545.83,0.0,0.0
28.92,45.99,13812.68,15388.87,0.936185,0.0,0.0,13812.68,0.0,0.0
29.03,53.34,14867.24,16154.15,0.936185,0.0,0.0,14867.24,0.0,0.0
38.65,51.41,16318.46,16848.15,0.936185,0.0,0.0,16318.46,0.0,0.0
44.49,76.55,17331.09,16733.99,0.936185,0.0,10.78,17320.31,0.0,479.6
39.45,58.87,17817.3,17286.43,0.706667,0.0,0.0,17817.3,0.0,0.0
44.67,61.64,17959.75,17280.19,0.706667,0.0,0.0,17959.75,0.0,0.0
56.22,74.16,18390.11,18549.99,0.706667,0.0,10.78,18379.33,0.0,606.05
56.66,68.04,18507.16,18425.67,0.477149,0.0,10.78,18496.38,0.0,610.79
44.88,64.21,18425.52,17790.37,0.247631,0.0,6.52,18419.0,0.0,292.62
39.86,60.62,18459.77,17573.86,0.108813,0.0,0.0,18459.77,0.0,0.0
44.66,54.66,18398.69,17773.26,0.108813,10.78,0.0,18409.47,0.0,-481.43
75.33,55.3,18507.98,17658.33,0.315953,10.78,0.0,18518.76,0.0,-812.06
44.48,81.99,19295.13,18995.12,0.523093,0.0,10.78,19284.35,0.0,479.49
45.3,69.38,19510.18,19073.87,0.293575,0.0,10.78,19499.4,0.0,488.33
35.51,47.02,19076.87,18672.84,0.064057,0.0,0.0,19076.87,0.0,0.0
34.52,41.16,18357.73,18306.23,0.064057,0.0,0.0,18357.73,0.0,0.0
34.58,34.37,17736.01,18116.45,0.064057,10.78,0.0,17746.79,0.0,-372.77
29.09,38.68,16741.23,17384.88,0.271197,0.0,9.73,16731.5,0.0,283.05
34.6,31.91,15684.5,16170.64,0.064035,0.0,0.0,15684.5,0.0,0.0
27.18,32.9,14693.11,15317.05,0.064035,0.0,0.0,14693.11,0.0,0.0
23.32,44.04,14118.78,15091.6,0.5,1.14,0.0,14119.92,0.0,-26.58
17.7,43.01,13670.2,14740.02,0.521905,10.78,0.0,13680.98,0.0,-190.81
23.46,42.26,13468.46,13367.77,0.729045,10.78,0.0,13479.24,0.0,-252.9
25.95,44.97,13490.86,14587.51,0.936185,0.0,0.0,13490.86,0.0,0.0
23.69,45.32,13751.74,15062.81,0.936185,0.0,0.0,13751.74,0.0,0.0
34.17,53.27,14625.8,15923.63,0.936185,0.0,10.78,14615.02,0.0,368.35
35.11,51.41,16155.34,16697.29,0.706667,0.0,7.63,16147.71,0.0,267.89
34.65,77.46,16938.32,16988.75,0.544216,0.0,10.78,16927.54,0.0,373.53
31.16,38.65,17121.19,16767.48,0.314698,10.78,0.0,17131.97,0.0,-335.9
31.74,45.5,17146.22,16234.34,0.521838,10.78,0.0,17157.0,0.0,-342.16
34.04,43.69,17093.88,17849.12,0.728978,10.78,0.0,17104.66,0.0,-366.95
31.16,57.31,17146.96,17744.4,0.936118,0.0,0.0,17146.96,0.0,0.0
31.28,58.57,17154.05,16622.27,0.936118,0.0,10.78,17143.27,0.0,337.2
29.78,57.34,17361.37,16857.58,0.7066,0.0,8.62,17352.75,0.0,256.7
29.04,57.23,17556.39,17253.0,0.523071,0.0,0.0,17556.39,0.0,0.0
