prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
26.27,19.8,42791.76,42534.15,0.5,2.27,0.0,42794.03,0.0,-59.63
24.47,129.96,42159.55,47136.98,0.543619,0.0,10.24,42149.31,0.0,250.57
23.61,17.46,42022.21,47186.95,0.325598,11.35,0.0,42033.56,0.0,-267.97
22.17,18.1,42420.11,44532.66,0.54369,11.35,0.0,42431.46,0.0,-251.63
22.4,16.79,43447.62,44201.79,0.761783,9.08,0.0,43456.7,0.0,-203.39
24.61,199.8,44858.57,51975.1,0.936257,0.0,10.24,44848.33,0.0,252.01
28.89,97.13,46788.14,49933.71,0.718236,11.35,0.0,46799.49,0.0,-327.9
36.03,4039.76,49155.11,52650.77,0.936329,0.0,10.24,49144.87,0.0,368.95
43.76,2805.94,51181.49,57303.49,0.718308,0.0,10.24,51171.25,0.0,448.1
35.91,2330.53,52366.52,56721.08,0.500287,0.0,10.24,52356.28,0.0,367.72
34.05,448.8,52121.8,53359.42,0.282267,2.27,0.0,52124.07,0.0,-77.29
33.23,500.29,51110.46,45540.43,0.325885,0.0,10.24,51100.22,0.0,340.28
30.03,21.32,49891.37,54829.53,0.107864,11.35,0.0,49902.72,0.0,-340.84
26.57,18.59,48426.54,42182.36,0.325957,11.35,0.0,48437.89,0.0,-301.57
25.6,30.07,46947.26,46259.82,0.54405,0.0,10.24,46937.02,0.0,262.14
25.16,20.54,46135.73,44101.84,0.326029,11.35,0.0,46147.08,0.0,-285.57
30.42,19.58,46229.31,40092.87,0.544122,11.35,0.0,46240.66,0.0,-345.27
81.32,26.23,48672.92,42781.91,0.762214,9.08,0.0,48682.0,0.0,-738.39
94.9,33.67,51634.63,54595.0,0.936688,0.0,10.24,51624.39,0.0,971.78
71.64,40.88,52339.46,54609.41,0.718667,0.0,10.24,52329.22,0.0,733.59
61.89,36.22,52291.55,54418.58,0.500647,0.0,10.24,52281.31,0.0,633.75
48.18,30.49,51968.45,56174.14,0.282626,0.0,10.24,51958.21,0.0,493.36
39.2,27.01,50629.99,52657.26,0.064605,0.0,0.0,50629.99,0.0,0.0
36.76,18.83,49358.45,51679.43,0.064605,0.0,0.0,49358.45,0.0,0.0
31.0,21.76,48446.75,45095.51,0.5,0.0,0.0,48446.75,0.0,0.0
30.46,18.03,48196.13,48004.18,0.5,0.0,0.0,48196.13,0.0,0.0
30.05,649.92,48321.48,47751.05,0.5,0.0,0.0,48321.48,0.0,0.0
29.67,650.96,48924.89,46832.22,0.5,0.0,0.0,48924.89,0.0,0.0
30.93,650.95,50306.61,47137.56,0.5,0.0,0.0,50306.61,0.0,0.0
39.67,72.98,52592.14,51395.46,0.5,0.0,0.0,52592.14,0.0,0.0
95.15,104.23,55596.58,54232.17,0.5,0.0,0.0,55596.58,0.0,0.0
100.52,258.78,57598.55,56440.81,0.5,0.0,0.0,57598.55,0.0,0.0
47.34,31.63,56961.42,55326.01,0.5,0.0,0.0,56961.42,0.0,0.0
