prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
65.1,55.67568033,28.68,27.21163527,0.5,0.0,4.606100271701813,24.073899728298187,0.0,299.85712768778797
62.12,53.07239038,27.12,25.61946785,0.36650532484054565,3.051304741203785,0.0,30.171304741203787,0.0,-189.54705052357912
59.05,51.00181992,25.99,24.58397957,0.4231026768684387,1.4286162614822389,0.0,27.41861626148224,0.0,-84.3597902405262
59.0,47.36623821,25.62,24.22109296,0.4496014714241028,4.302738600969314,0.0,29.922738600969314,0.0,-253.86157745718953
56.63,47.40726052,25.66,24.17771765,0.5294111371040344,10.779999304562807,0.0,36.439999304562804,0.0,-610.4713606173918
56.63,55.01003384,26.06,24.83470126,0.7293647527694702,10.779999304562807,0.0,36.83999930456281,0.0,-610.4713606173918
61.66,68.31150847,28.58,26.19666667,0.929318368434906,3.772431781888008,0.0,32.35243178188801,0.0,-232.60814367121458
66.61,73.14173882,32.44,27.95922048,0.9992915987968445,0.0,2.3117053313255314,30.128294668674467,0.0,153.98269211959365
73.0,83.79392558,35.25,34.90610052,0.9322934150695801,0.0,10.78,24.47,0.0,786.9399999999999
73.0,65.41623894,36.63,34.65840509,0.6198658347129822,0.20381535440683365,0.0,36.83381535440684,0.0,-14.878520871698857
65.0,65.25547287,36.22,34.97362482,0.6236463189125061,10.779999304562807,0.0,46.999999304562806,0.0,-700.6999547965825
63.82,59.10891214,35.17,33.81940341,0.8235999345779419,9.510168527066707,0.0,44.68016852706671,0.0,-606.9389553973972
62.19,56.47060763,33.26,34.18180884,1.0,0.0,0.0,33.26,0.0,0.0
59.5,51.56733,31.54,36.3375,1.0,0.0,0.0,31.54,0.0,0.0
56.99,55.1069477,31.52,37.42111111,1.0,0.0,0.0,31.52,0.0,0.0
61.92,62.44495389,32.14,34.66035584,1.0,0.0,0.0,32.14,0.0,0.0
65.63,69.66330869,33.53,35.169247,1.0,0.0,0.0,33.53,0.0,0.0
82.47,80.99666667,37.37,37.80389646,1.0,0.0,9.022248977661134,28.347751022338862,0.0,744.0648731877137
82.79,74.2241846,38.78,39.1927837,0.7385158538818359,0.0,10.78,28.0,0.0,892.4762000000001
83.5,74.52112903,38.96,39.48984687,0.4260883033275604,0.0,10.779999947249891,28.18000005275011,0.0,900.1299955953659
78.62,68.36196225,36.4,37.932,0.11366076022386551,0.0,3.921750870764256,32.47824912923574,0.0,308.32805345948583
72.94,64.14167772,33.51,35.10596615,0.0,0.0,0.0,33.51,0.0,0.0
64.53,63.01678135,30.89,32.22280021,0.0,0.0,0.0,30.89,0.0,0.0
60.32,57.17275082,28.02,30.26906953,0.0,0.0,0.0,28.02,0.0,0.0
