prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
65.1,44.749878,28.68,24.377789,0.7374449339207048,10.78,0.0,35.157789,0.0,-701.7779999999999
62.12,42.552708,27.12,23.462914,0.9748898678414095,10.78,0.0,34.242914,0.0,-669.6536
59.05,38.126717,25.99,21.737377,1.0,1.140000000000008,0.0,22.877377000000006,0.0,-67.31700000000046
59.0,38.153713,25.62,21.01735,1.0,0.0,0.0,21.01735,0.0,0.0
56.63,38.285828,25.66,20.4696,1.0,0.0,0.0,20.4696,0.0,0.0
56.63,43.11862,26.06,22.235014,1.0,0.0,0.0,22.235014,0.0,0.0
61.66,48.56188,28.58,23.999521,1.0,0.0,0.0,23.999521,0.0,0.0
66.61,54.15712,32.44,26.921799,1.0,0.0,0.0,26.921799,0.0,0.0
73.0,55.424416,35.25,28.375935,0.7369031203094683,0.0,10.78,17.595934999999997,0.0,786.9399999999999
73.0,53.628986,36.63,29.094069,0.7369031203094683,0.0,0.0,29.094069,0.0,0.0
65.0,51.874046,36.22,29.2466,0.7369031203094683,0.0,0.0,29.2466,0.0,0.0
63.82,48.755173,35.17,27.908028,0.7369031203094683,0.0,0.0,27.908028,0.0,0.0
62.19,47.354897,33.26,27.681019,0.7369031203094683,0.0,0.0,27.681019,0.0,0.0
59.5,49.049633,31.54,27.983608,0.7369031203094683,0.0,0.0,27.983608,0.0,0.0
56.99,50.988747,31.52,28.66348,0.7369031203094683,0.0,0.0,28.66348,0.0,0.0
61.92,53.275772,32.14,30.346058,0.7369031203094683,0.0,0.0,30.346058,0.0,0.0
65.63,56.709984,33.53,31.434517,0.47380624061893656,0.0,10.78,20.654517,0.0,707.4913999999999
82.47,60.201057,37.37,32.887768,0.21070936092840487,0.0,10.78,22.107768,0.0,889.0265999999999
82.79,61.023006,38.78,33.05094,0.0,0.0,8.633499999999996,24.41744,0.0,714.7674649999998
83.5,61.50245,38.96,32.329556,0.0,0.0,0.0,32.329556,0.0,0.0
78.62,59.17997,36.4,31.729424,0.0,0.0,0.0,31.729424,0.0,0.0
72.94,55.148796,33.51,31.011599,0.0,0.0,0.0,31.011599,0.0,0.0
64.53,49.651993,30.89,28.174725,0.0,0.0,0.0,28.174725,0.0,0.0
60.32,46.90073,28.02,25.783405,0.23744493392070481,10.78,0.0,36.563404999999996,0.0,-650.2496
