prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
65.1,70.04394576,28.68,29.64207892,0.2369031203094683,0.0,10.78,18.862078920000002,0.0,701.7779999999999
62.12,66.19615546,27.12,24.98852674,0.0,0.0,9.70675,15.281776740000002,0.0,602.98331
59.05,50.28899139,25.99,23.79358531,0.23744493392070481,10.78,0.0,34.57358531,0.0,-636.559
59.0,44.83377512,25.62,23.32835693,0.47488986784140963,10.78,0.0,34.10835693,0.0,-636.02
56.63,42.12923819,25.66,23.17653057,0.7123348017621145,10.78,0.0,33.95653057,0.0,-610.4714
56.63,41.0452562,26.06,23.27711402,0.9497797356828193,10.78,0.0,34.05711402,0.0,-610.4714
61.66,42.94199337,28.58,23.91280121,0.6866828559922875,0.0,10.78,13.132801210000002,0.0,664.6947999999999
66.61,48.78141431,32.44,25.32343733,0.4235859763017558,0.0,10.78,14.543437330000001,0.0,718.0558
73.0,54.53338023,35.25,26.77294898,0.16048909661122412,0.0,10.78,15.99294898,0.0,786.9399999999999
73.0,58.41835125,36.63,28.17606852,0.0,0.0,6.575799999999991,21.60026852000001,0.0,480.03339999999935
65.0,60.5880948,36.22,28.30705768,0.23744493392070481,10.78,0.0,39.08705768,0.0,-700.6999999999999
63.82,61.00291539,35.17,31.65665769,0.47488986784140963,10.78,0.0,42.43665769,0.0,-687.9796
62.19,60.10997788,33.26,35.01132462,0.7123348017621145,10.78,0.0,45.791324620000005,0.0,-670.4082
59.5,59.14428852,31.54,33.89053212,0.9497797356828193,10.78,0.0,44.670532120000004,0.0,-641.41
56.99,58.92852607,31.52,33.22551607,1.0,2.2800000000000056,0.0,35.505516070000006,0.0,-129.93720000000033
61.92,60.34708329,32.14,33.21567534,1.0,0.0,0.0,33.21567534,0.0,0.0
65.63,64.37877232,33.53,34.50114283,0.7369031203094683,0.0,10.78,23.721142829999998,0.0,707.4913999999999
82.47,70.99030546,37.37,37.04620789,0.47380624061893656,0.0,10.78,26.266207889999997,0.0,889.0265999999999
82.79,76.1836874,38.78,39.46551487,0.21070936092840487,0.0,10.78,28.68551487,0.0,892.4762000000001
83.5,77.22009307,38.96,40.25932675,0.0,0.0,8.633499999999996,31.62582675,0.0,720.8972499999996
78.62,75.37738082,36.4,39.36819747,0.23744493392070481,10.78,0.0,50.14819747,0.0,-847.5236
72.94,71.93564878,33.51,36.7979697,0.47488986784140963,10.78,0.0,47.577969700000004,0.0,-786.2932
64.53,68.33804907,30.89,34.41562417,0.21179298815087794,0.0,10.78,23.63562417,0.0,695.6333999999999
60.32,65.56716853,28.02,31.67700513,0.0,0.0,8.677899999999998,22.999105130000004,0.0,523.4509279999999
