prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW
65.1,70.04394576,28.68,29.64207892,0.5,0.0,9.19080773983896,19.48919226016104,0.0
62.12,66.19615546,27.12,24.98852674,0.2756889760494232,1.3809748828411104,0.0,28.50097488284111,0.0
59.05,50.28899139,25.99,23.79358531,0.30610692501068115,9.58766542673111,0.0,35.57766542673111,0.0
59.0,44.83377512,25.62,23.32835693,0.5172889828681946,10.78,0.0,36.4,0.0
56.63,42.12923819,25.66,23.17653057,0.7547339200973511,10.78,0.0,36.44,0.0
56.63,41.0452562,26.06,23.27711402,0.9921788573265076,0.3550798773765564,0.0,26.415079877376556,0.0
61.66,42.94199337,28.58,23.91280121,1.0,0.0,0.0,28.58,0.0
66.61,48.78141431,32.44,25.32343733,1.0,0.0,0.0,32.44,0.0
73.0,54.53338023,35.25,26.77294898,1.0,0.0,0.0,35.25,0.0
73.0,58.41835125,36.63,28.17606852,1.0,0.0,3.1163954462111,33.5136045537889,0.0
65.0,60.5880948,36.22,28.30705768,0.9239411950111389,0.0,4.661225727885961,31.558774272114036,0.0
63.82,61.00291539,35.17,31.65665769,0.8101792335510254,3.3043397784233095,0.0,38.474339778423314,0.0
62.19,60.10997788,33.26,35.01132462,0.8829620480537415,5.313523018360138,0.0,38.573523018360135,0.0
59.5,59.14428852,31.54,33.89053212,1.0,0.0,0.0,31.54,0.0
56.99,58.92852607,31.52,33.22551607,1.0,0.0,0.0,31.52,0.0
61.92,60.34708329,32.14,33.21567534,1.0,0.0,0.0,32.14,0.0
65.63,64.37877232,33.53,34.50114283,1.0,0.0,0.0,33.53,0.0
82.47,70.99030546,37.37,37.04620789,1.0,0.0,10.779999561637641,26.590000438362356,0.0
82.79,76.1836874,38.78,39.46551487,0.7369031310081482,0.0,10.78,28.0,0.0
83.5,77.22009307,38.96,40.25932675,0.473806232213974,0.0,10.779999561637641,28.18000043836236,0.0
78.62,75.37738082,36.4,39.36819747,0.2107093632221222,0.0,8.633500093981624,27.766499906018375,0.0
72.94,71.93564878,33.51,36.7979697,0.0,0.0,0.0,33.51,0.0
64.53,68.33804907,30.89,34.41562417,0.0,0.0,0.0,30.89,0.0
60.32,65.56716853,28.02,31.67700513,0.0,0.0,0.0,28.02,0.0
