prices_buy,prices_buy_forecast,demand_MW,demand_MW_forecast,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step,profit_daily
65.1,65.1,28.68,28.68,0.5,0.0,0.0,28.68,0.0,0.0,2616.893325900277
62.12,62.12,27.12,27.12,0.5,0.0,0.0,27.12,0.0,0.0,2616.893325900277
59.05,59.05,25.99,25.99,0.5,0.0,0.0,25.99,0.0,0.0,2616.893325900277
59.0,59.0,25.62,25.62,0.5,1.327368421052637,0.0,26.947368421052637,0.0,-78.31473684210559,2616.893325900277
56.63,56.63,25.66,25.66,0.5250945273631842,12.56,0.0,38.22,0.0,-711.2728000000001,2616.893325900277
56.63,56.63,26.06,26.06,0.7625472636815921,12.56,0.0,38.62,0.0,-711.2728000000001,2616.893325900277
61.66,61.66,28.58,28.58,1.0,0.0,0.0,28.58,0.0,0.0,2616.893325900277
66.61,66.61,32.44,32.44,1.0,0.0,0.0,32.44,0.0,0.0,2616.893325900277
73.0,73.0,35.25,35.25,1.0,0.0,12.56,22.689999999999998,0.0,916.88,2616.893325900277
73.0,73.0,36.63,36.63,0.7368944749934538,0.0,12.56,24.07,0.0,916.88,2616.893325900277
65.0,65.0,36.22,36.22,0.4737889499869076,0.0,0.0,36.22,0.0,0.0,2616.893325900277
63.82,63.82,35.17,35.17,0.4737889499869076,0.0,0.0,35.17,0.0,0.0,2616.893325900277
62.19,62.19,33.26,33.26,0.4737889499869076,0.0,0.0,33.26,0.0,0.0,2616.893325900277
59.5,59.5,31.54,31.54,0.4737889499869076,12.56,0.0,44.1,0.0,-747.32,2616.893325900277
56.99,56.99,31.52,31.52,0.7112416863053156,12.56,0.0,44.08,0.0,-715.7944000000001,2616.893325900277
61.92,61.92,32.14,32.14,0.9486944226237235,2.713795013850415,0.0,34.853795013850416,0.0,-168.03818725761772,2616.893325900277
65.63,65.63,33.53,33.53,1.0,0.0,0.0,33.53,0.0,0.0,2616.893325900277
82.47,82.47,37.37,37.37,1.0,0.0,12.56,24.809999999999995,0.0,1035.8232,2616.893325900277
82.79,82.79,38.78,38.78,0.7368944749934538,0.0,12.56,26.22,0.0,1039.8424000000002,2616.893325900277
83.5,83.5,38.96,38.96,0.4737889499869076,0.0,12.56,26.4,0.0,1048.76,2616.893325900277
78.62,78.62,36.4,36.4,0.2106834249803614,0.0,10.057500000000005,26.342499999999994,0.0,790.7206500000004,2616.893325900277
72.94,72.94,33.51,33.51,0.0,0.0,0.0,33.51,0.0,0.0,2616.893325900277
64.53,64.53,30.89,30.89,0.0,0.0,0.0,30.89,0.0,0.0,2616.893325900277
60.32,60.32,28.02,28.02,0.0,0.0,0.0,28.02,0.0,0.0,2616.893325900277
47.52,47.52,27.84,27.84,0.5,0.0,0.0,27.84,0.0,0.0,3055.0824125263175
46.63,46.63,26.31,26.31,0.5,0.0,0.0,26.31,0.0,0.0,3055.0824125263175
46.06,46.06,25.47,25.47,0.5,1.3273684210526253,0.0,26.797368421052624,0.0,-61.13858947368392,3055.0824125263175
40.74,40.74,25.28,25.28,0.525094527363184,12.56,0.0,37.84,0.0,-511.69440000000003,3055.0824125263175
41.76,41.76,25.48,25.48,0.762547263681592,12.56,0.0,38.04,0.0,-524.5056,3055.0824125263175
47.67,47.67,27.25,27.25,1.0,0.0,0.0,27.25,0.0,0.0,3055.0824125263175
61.22,61.22,32.54,32.54,1.0,0.0,7.66160000000001,24.87839999999999,0.0,469.0431520000006,3055.0824125263175
66.25,66.25,38.5,38.5,0.8395056297460066,0.0,12.56,25.939999999999998,0.0,832.1,3055.0824125263175
75.53,75.53,43.09,43.09,0.5764001047394605,0.0,12.56,30.53,0.0,948.6568000000001,3055.0824125263175
65.9,65.9,43.77,43.77,0.31329457973291425,0.0,12.56,31.21,0.0,827.7040000000001,3055.0824125263175
59.94,59.94,42.87,42.87,0.05018905472636803,0.0,0.0,42.87,0.0,0.0,3055.0824125263175
53.11,53.11,42.18,42.18,0.05018905472636803,12.56,0.0,54.74,0.0,-667.0616,3055.0824125263175
48.41,48.41,39.65,39.65,0.287641791044776,12.56,0.0,52.21,0.0,-608.0296,3055.0824125263175
48.23,48.23,39.08,39.08,0.525094527363184,12.56,0.0,51.64,0.0,-605.7687999999999,3055.0824125263175
51.66,51.66,40.25,40.25,0.762547263681592,12.56,0.0,52.81,0.0,-648.8496,3055.0824125263175
57.29,57.29,41.11,41.11,1.0,0.0,0.0,41.11,0.0,0.0,3055.0824125263175
61.79,61.79,42.14,42.14,1.0,0.0,0.0,42.14,0.0,0.0,3055.0824125263175
71.95,71.95,43.48,43.48,1.0,0.0,12.56,30.919999999999995,0.0,903.6920000000001,3055.0824125263175
79.65,79.65,45.5,45.5,0.7368944749934538,0.0,12.56,32.94,0.0,1000.4040000000001,3055.0824125263175
79.74,79.74,44.19,44.19,0.4737889499869076,0.0,12.56,31.629999999999995,0.0,1001.5344,3055.0824125263175
69.5,69.5,41.38,41.38,0.2106834249803614,0.0,10.057500000000005,31.322499999999998,0.0,698.9962500000004,3055.0824125263175
63.83,63.83,37.88,37.88,0.0,0.0,0.0,37.88,0.0,0.0,3055.0824125263175
55.52,55.52,34.08,34.08,0.0,0.0,0.0,34.08,0.0,0.0,3055.0824125263175
49.4,49.4,30.37,30.37,0.0,0.0,0.0,30.37,0.0,0.0,3055.0824125263175
37.33,37.33,27.32,27.32,0.5,0.0,10.137450000000007,17.182549999999992,0.0,378.43100850000025,2711.3067913254854
36.38,36.38,25.95,25.95,0.287641791044776,0.0,0.0,25.95,0.0,0.0,2711.3067913254854
32.7,32.7,25.12,25.12,0.287641791044776,12.56,0.0,37.68,0.0,-410.71200000000005,2711.3067913254854
32.17,32.17,24.94,24.94,0.525094527363184,12.56,0.0,37.5,0.0,-404.0552,2711.3067913254854
32.31,32.31,25.23,25.23,0.762547263681592,12.56,0.0,37.79,0.0,-405.81360000000006,2711.3067913254854
36.32,36.32,26.79,26.79,1.0,0.0,0.0,26.79,0.0,0.0,2711.3067913254854
47.66,47.66,31.38,31.38,1.0,0.0,0.0,31.38,0.0,0.0,2711.3067913254854
58.0,58.0,36.51,36.51,1.0,0.0,12.56,23.95,0.0,728.48,2711.3067913254854
61.24,61.24,40.78,40.78,0.7368944749934538,0.0,12.56,28.22,0.0,769.1744000000001,2711.3067913254854
58.69,58.69,41.23,41.23,0.4737889499869076,0.0,12.56,28.669999999999995,0.0,737.1464,2711.3067913254854
53.36,53.36,40.5,40.5,0.2106834249803614,0.0,0.0,40.5,0.0,0.0,2711.3067913254854
51.83,51.83,39.95,39.95,0.2106834249803614,0.0,0.0,39.95,0.0,0.0,2711.3067913254854
42.14,42.14,37.53,37.53,0.2106834249803614,12.56,0.0,50.09,0.0,-529.2784,2711.3067913254854
42.29,42.29,37.21,37.21,0.4481361612987694,12.56,0.0,49.77,0.0,-531.1624,2711.3067913254854
50.12,50.12,38.55,38.55,0.6855888976171773,12.56,0.0,51.11,0.0,-629.5072,2711.3067913254854
51.72,51.72,39.26,39.26,0.9230416339355854,4.070692520775617,0.0,43.330692520775614,0.0,-210.5362171745149,2711.3067913254854
55.25,55.25,39.98,39.98,1.0,0.0,0.0,39.98,0.0,0.0,2711.3067913254854
58.4,58.4,40.37,40.37,1.0,0.0,0.0,40.37,0.0,0.0,2711.3067913254854
67.53,67.53,42.25,42.25,1.0,0.0,12.56,29.689999999999998,0.0,848.1768000000001,2711.3067913254854
74.52,74.52,42.53,42.53,0.7368944749934538,0.0,12.56,29.97,0.0,935.9712,2711.3067913254854
64.54,64.54,40.6,40.6,0.4737889499869076,0.0,12.56,28.04,0.0,810.6224000000001,2711.3067913254854
62.08,62.08,37.39,37.39,0.2106834249803614,0.0,10.057500000000005,27.332499999999996,0.0,624.3696000000002,2711.3067913254854
55.69,55.69,33.46,33.46,0.0,0.0,0.0,33.46,0.0,0.0,2711.3067913254854
