prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
51.0,46.56980749,22.74,25.26011461,0.5,10.78,0.0,36.040114609999996,0.0,-549.78
46.27,39.53773847,21.5,24.04358788,0.7374449339207048,10.78,0.0,34.82358788,0.0,-498.7906
39.78,37.0457292,20.5,22.65896303,0.9748898678414095,1.140000000000008,0.0,23.798963030000007,0.0,-45.349200000000316
27.87,33.97309305,19.64,21.64553853,1.0,0.0,0.0,21.64553853,0.0,0.0
22.0,33.77742699,19.3,22.08336775,1.0,0.0,0.0,22.08336775,0.0,0.0
20.0,38.45316148,19.65,22.12202695,1.0,0.0,0.0,22.12202695,0.0,0.0
20.9,46.85447987,20.86,22.14666667,1.0,0.0,0.0,22.14666667,0.0,0.0
26.54,54.84395765,22.21,25.12610667,1.0,0.0,0.0,25.12610667,0.0,0.0
25.0,58.57893156,23.13,28.17412223,1.0,0.0,0.0,28.17412223,0.0,0.0
25.0,53.37109246,24.38,29.68239749,1.0,0.0,0.0,29.68239749,0.0,0.0
34.64,53.19388942,25.29,27.41691718,1.0,0.0,0.0,27.41691718,0.0,0.0
41.03,50.15505505,25.88,29.55699994,1.0,0.0,0.0,29.55699994,0.0,0.0
48.97,49.06797744,26.09,29.56387416,1.0,0.0,0.0,29.56387416,0.0,0.0
41.06,50.47452,24.73,27.9,1.0,0.0,0.0,27.9,0.0,0.0
37.95,52.19668328,24.27,27.81625,1.0,0.0,0.0,27.81625,0.0,0.0
53.59,59.96764545,24.6,28.89797657,1.0,0.0,10.78,18.117976570000003,0.0,577.7002
58.65,66.90326064,25.9,30.39148336,0.7369031203094683,0.0,10.78,19.61148336,0.0,632.247
64.64,61.94714286,29.11,31.63044248,0.47380624061893656,0.0,10.78,20.850442479999998,0.0,696.8191999999999
65.0,65.59960145,30.11,35.75480032,0.21070936092840487,0.0,8.633499999999996,27.121300320000003,0.0,561.1774999999998
66.26,105.25,30.6,36.33831261,0.0,0.0,0.0,36.33831261,0.0,0.0
65.99,68.6268938,29.46,32.71125,0.0,0.0,0.0,32.71125,0.0,0.0
62.75,63.09534354,28.07,31.91367603,0.0,0.0,0.0,31.91367603,0.0,0.0
58.65,58.80213862,25.93,29.36570087,0.0,0.0,0.0,29.36570087,0.0,0.0
54.91,47.13727199,23.46,25.00305726,0.0,0.0,0.0,25.00305726,0.0,0.0
55.26,42.90344333,28.28,27.13701181,0.5,10.78,0.0,37.91701181,0.0,-595.7027999999999
