prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
51.0,51.0,22.74,22.74,0.5,0.0,10.78,11.959999999999999,0.0,549.78
46.27,46.27,21.5,21.5,0.23690312030946836,0.0,9.706750000000003,11.793249999999997,0.0,449.1313225000002
39.78,39.78,20.5,20.5,0.0,0.0,0.0,20.5,0.0,0.0
27.87,27.87,19.64,19.64,0.0,0.0,0.0,19.64,0.0,0.0
22.0,22.0,19.3,19.3,0.0,10.78,0.0,30.08,0.0,-237.16
20.0,20.0,19.65,19.65,0.23744493392070481,10.78,0.0,30.43,0.0,-215.6
20.9,20.9,20.86,20.86,0.47488986784140963,10.78,0.0,31.64,0.0,-225.30199999999996
26.54,26.54,22.21,22.21,0.7123348017621145,0.0,0.0,22.21,0.0,0.0
25.0,25.0,23.13,23.13,0.7123348017621145,10.78,0.0,33.91,0.0,-269.5
25.0,25.0,24.38,24.38,0.9497797356828193,2.280000000000006,0.0,26.660000000000004,0.0,-57.00000000000015
34.64,34.64,25.29,25.29,1.0,0.0,0.0,25.29,0.0,0.0
41.03,41.03,25.88,25.88,1.0,0.0,0.0,25.88,0.0,0.0
48.97,48.97,26.09,26.09,1.0,0.0,10.78,15.31,0.0,527.8965999999999
41.06,41.06,24.73,24.73,0.7369031203094684,1.1645983379501403,0.0,25.89459833795014,0.0,-47.818407756232766
37.95,37.95,24.27,24.27,0.7625550660792952,10.78,0.0,35.05,0.0,-409.101
53.59,53.59,24.6,24.6,1.0,0.0,0.0,24.6,0.0,0.0
58.65,58.65,25.9,25.9,1.0,0.0,0.0,25.9,0.0,0.0
64.64,64.64,29.11,29.11,1.0,0.0,8.633500000000007,20.476499999999994,0.0,558.0694400000004
65.0,65.0,30.11,30.11,0.7892906390715949,0.0,10.78,19.33,0.0,700.6999999999999
66.26,66.26,30.6,30.6,0.5261937593810633,0.0,10.78,19.82,0.0,714.2828000000001
65.99,65.99,29.46,29.46,0.26309687969053164,0.0,10.78,18.68,0.0,711.3721999999999
62.75,62.75,28.07,28.07,0.0,0.0,0.0,28.07,0.0,0.0
58.65,58.65,25.93,25.93,0.0,0.0,0.0,25.93,0.0,0.0
54.91,54.91,23.46,23.46,0.0,0.0,0.0,23.46,0.0,0.0
55.26,55.26,28.28,28.28,0.5,0.0,0.0,28.28,0.0,0.0
54.2,54.2,26.75,26.75,0.5,0.0,0.0,26.75,0.0,0.0
52.7,52.7,25.94,25.94,0.5,1.140000000000008,0.0,27.08000000000001,0.0,-60.07800000000042
49.97,49.97,25.71,25.71,0.5251101321585905,10.78,0.0,36.49,0.0,-538.6766
49.43,49.43,25.94,25.94,0.7625550660792952,10.78,0.0,36.72,0.0,-532.8553999999999
54.83,54.83,27.52,27.52,1.0,0.0,0.0,27.52,0.0,0.0
62.9,62.9,32.56,32.56,1.0,0.0,0.0,32.56,0.0,0.0
66.69,66.69,39.06,39.06,1.0,0.0,0.0,39.06,0.0,0.0
79.2,79.2,43.42,43.42,1.0,0.0,10.78,32.64,0.0,853.776
80.08,80.08,44.75,44.75,0.7369031203094684,0.0,10.78,33.97,0.0,863.2624
73.25,73.25,44.39,44.39,0.4738062406189367,0.0,0.0,44.39,0.0,0.0
74.7,74.7,43.98,43.98,0.4738062406189367,0.0,10.78,33.199999999999996,0.0,805.266
66.92,66.92,41.52,41.52,0.2107093609284051,0.0,0.0,41.52,0.0,0.0
63.03,63.03,40.86,40.86,0.2107093609284051,10.78,0.0,51.64,0.0,-679.4634
69.66,69.66,42.03,42.03,0.4481542948491099,0.0,0.0,42.03,0.0,0.0
68.93,68.93,42.43,42.43,0.4481542948491099,0.0,0.0,42.43,0.0,0.0
66.55,66.55,43.04,43.04,0.4481542948491099,3.5429916897506835,0.0,46.582991689750685,0.0,-235.78609695290797
73.22,73.22,44.49,44.49,0.5261937593810633,0.0,0.0,44.49,0.0,0.0
79.08,79.08,45.65,45.65,0.5261937593810633,0.0,10.78,34.87,0.0,852.4824
74.28,74.28,44.12,44.12,0.26309687969053164,0.0,10.78,33.339999999999996,0.0,800.7384
69.37,69.37,40.78,40.78,0.0,0.0,0.0,40.78,0.0,0.0
63.58,63.58,37.5,37.5,0.0,0.0,0.0,37.5,0.0,0.0
59.46,59.46,33.73,33.73,0.0,0.0,0.0,33.73,0.0,0.0
54.11,54.11,30.36,30.36,0.0,0.0,0.0,30.36,0.0,0.0
48.33,48.33,28.41,28.41,0.5,0.0,0.0,28.41,0.0,0.0
46.1,46.1,26.85,26.85,0.5,0.0,0.0,26.85,0.0,0.0
44.81,44.81,26.0,26.0,0.5,1.140000000000008,0.0,27.140000000000008,0.0,-51.08340000000036
44.14,44.14,25.76,25.76,0.5251101321585905,10.78,0.0,36.54,0.0,-475.82919999999996
44.56,44.56,26.12,26.12,0.7625550660792952,10.78,0.0,36.9,0.0,-480.3568
47.6,47.6,27.54,27.54,1.0,0.0,0.0,27.54,0.0,0.0
60.5,60.5,32.36,32.36,1.0,0.0,10.78,21.58,0.0,652.1899999999999
59.62,59.62,37.28,37.28,0.7369031203094684,0.0,10.78,26.5,0.0,642.7035999999999
62.84,62.84,41.42,41.42,0.4738062406189367,0.0,10.78,30.64,0.0,677.4152
57.52,57.52,41.94,41.94,0.2107093609284051,0.0,6.5757999999999965,35.364200000000004,0.0,378.2400159999998
52.67,52.67,41.33,41.33,0.05022026431718085,0.0,0.0,41.33,0.0,0.0
49.85,49.85,40.72,40.72,0.05022026431718085,10.78,0.0,51.5,0.0,-537.383
47.21,47.21,38.39,38.39,0.28766519823788567,10.78,0.0,49.17,0.0,-508.92379999999997
45.72,45.72,37.9,37.9,0.5251101321585905,10.78,0.0,48.68,0.0,-492.86159999999995
49.03,49.03,39.12,39.12,0.7625550660792952,10.78,0.0,49.9,0.0,-528.5434
53.0,53.0,39.52,39.52,1.0,0.0,0.0,39.52,0.0,0.0
56.55,56.55,40.29,40.29,1.0,0.0,0.0,40.29,0.0,0.0
62.84,62.84,40.72,40.72,1.0,0.0,8.633500000000007,32.086499999999994,0.0,542.5291400000004
71.94,71.94,43.0,43.0,0.7892906390715949,0.0,10.78,32.22,0.0,775.5132
76.0,76.0,42.63,42.63,0.5261937593810633,0.0,10.78,31.85,0.0,819.28
68.28,68.28,40.39,40.39,0.26309687969053164,0.0,10.78,29.61,0.0,736.0584
60.74,60.74,37.16,37.16,0.0,0.0,0.0,37.16,0.0,0.0
53.9,53.9,33.48,33.48,0.0,0.0,0.0,33.48,0.0,0.0
49.31,49.31,30.06,30.06,0.0,0.0,0.0,30.06,0.0,0.0
47.58,47.58,23.63,23.63,0.5,0.0,10.78,12.85,0.0,512.9123999999999
42.41,42.41,22.21,22.21,0.23690312030946836,2.304598337950146,0.0,24.514598337950147,0.0,-97.73801551246568
