prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
32.72,13.907385019783897,38006.938896,36124.57686319287,0.5,0.0,0.0,36124.57686319287,0.0,0.0
24.61,14.63628392829528,37036.522365,35113.525930009906,0.5,0.0,0.0,35113.525930009906,0.0,0.0
22.26,13.119384615384645,35881.607998,33856.64868152683,0.5,0.0,0.0,33856.64868152683,0.0,0.0
17.59,14.733999999999948,35044.055105,33033.04737312672,0.5,0.0,0.0,33033.04737312672,0.0,0.0
11.29,12.850334728033442,34585.57114,33756.95337501019,0.5,0.0,0.0,33756.95337501019,0.0,0.0
13.94,14.47968458980329,34446.396676,34291.85074051025,0.5,0.0,0.0,34291.85074051025,0.0,0.0
14.38,17.745221482808393,34724.251246,34291.60654293533,0.5,0.0,0.0,34291.60654293533,0.0,0.0
15.36,19.207901795223226,34972.374262,35180.59314182597,0.5,0.0,0.0,35180.59314182597,0.0,0.0
15.67,20.363351531780605,35950.371156,35713.92295478336,0.5,0.0,0.0,35713.92295478336,0.0,0.0
16.48,20.041735248263645,38020.699447,37240.00402030561,0.5,0.0,0.0,37240.00402030561,0.0,0.0
18.56,19.653834070958805,39972.895508,37701.30732302735,0.5,0.0,0.0,37701.30732302735,0.0,0.0
21.84,15.778272814732572,41849.217067,39657.7672807304,0.5,0.0,0.0,39657.7672807304,0.0,0.0
22.67,17.81535081658801,43180.186413,38323.928778038346,0.5,0.0,0.0,38323.928778038346,0.0,0.0
23.74,25.638846153846213,44002.119157,40134.57274408875,0.5,0.0,0.0,40134.57274408875,0.0,0.0
23.78,17.575971565059145,44251.28835,39813.2065926736,0.5,0.0,0.0,39813.2065926736,0.0,0.0
22.4,16.56500000000004,44186.437046,40818.81790632888,0.5,0.0,0.0,40818.81790632888,0.0,0.0
28.31,58.65749999999972,44276.642402,40286.57154937965,0.5,0.0,0.0,40286.57154937965,0.0,0.0
40.95,75.94124999999988,44911.995876,41208.18485476055,0.5,0.0,0.0,41208.18485476055,0.0,0.0
28.27,33.67429928741078,46030.241483,41152.81055514679,0.5,0.0,0.0,41152.81055514679,0.0,0.0
25.09,21.096679585306266,45862.755681,40578.38689827076,0.5,0.0,0.0,40578.38689827076,0.0,0.0
22.26,19.48469247183442,45695.831216,37773.51575967051,0.5,0.0,0.0,37773.51575967051,0.0,0.0
21.91,18.09960497765083,45419.606307,36897.63355264357,0.5,0.0,0.0,36897.63355264357,0.0,0.0
23.41,17.568436974789897,44716.788581,36551.793535449346,0.5,0.0,0.0,36551.793535449346,0.0,0.0
22.89,18.205660366561485,43760.774262,38460.81192710656,0.5,0.0,0.0,38460.81192710656,0.0,0.0
26.27,19.8029633094766,42791.764572,42534.150141345795,0.5,2.2998684210526275,0.0,42536.45000976685,0.0,-60.41754342105252
24.47,129.95729401526015,42159.546083,47136.98306290927,0.550657894736842,0.0,10.7825,47126.20056290927,0.0,263.847775
23.61,17.463387096774152,42022.207772,47186.95216076991,0.2874999999999999,10.7825,0.0,47197.734660769915,0.0,-254.574825
22.17,18.096666666666664,42420.112903,44532.66374857953,0.5249999999999999,10.7825,0.0,44543.44624857953,0.0,-239.04802500000002
22.4,16.79253521126757,43447.61575,44201.787848702814,0.7625,10.7825,0.0,44212.570348702815,0.0,-241.528
24.61,199.795183280293,44858.572346,51975.10160045805,1.0,0.0,9.731206250000003,51965.370394208054,0.0,239.48498581250007
28.89,97.1298943104558,46788.141863,49933.71074094234,0.7625,10.7825,0.0,49944.49324094234,0.0,-311.50642500000004
36.03,4039.764360126361,49155.110148,52650.76558946966,1.0,0.0,10.7825,52639.98308946966,0.0,388.49347500000005
43.76,2805.937769283774,51181.489472,57303.48625480542,0.7368421052631579,0.0,10.7825,57292.70375480542,0.0,471.8422
35.91,2330.5319348217945,52366.5216,56721.08065026087,0.47368421052631576,0.0,10.7825,56710.29815026087,0.0,387.199575
34.05,448.8007536804674,52121.800938,53359.420603292245,0.21052631578947367,2.3894736842105266,0.0,53361.81007697646,0.0,-81.36157894736843
33.23,500.2946103438008,51110.464816,45540.426594902274,0.2631578947368421,0.0,10.7825,45529.64409490227,0.0,358.302475
30.03,21.321272953625886,49891.367825,54829.532695084265,0.0,10.7825,0.0,54840.315195084266,0.0,-323.79847500000005
26.57,18.588571428571417,48426.536827,42182.35744995837,0.2375,10.7825,0.0,42193.13994995837,0.0,-286.49102500000004
25.6,30.074542659101844,46947.261849,46259.822206459125,0.475,0.0,7.682531250000003,46252.139675209124,0.0,196.67280000000008
25.16,20.539999999999974,46135.731854,44101.836819387,0.2874999999999999,10.7825,0.0,44112.619319387,0.0,-271.28770000000003
30.42,19.57999999999995,46229.305338,40092.86846680715,0.5249999999999999,10.7825,0.0,40103.65096680715,0.0,-328.00365000000005
81.32,26.23499999999992,48672.916807,42781.91072080528,0.7625,10.7825,0.0,42792.69322080528,0.0,-876.8329
94.9,33.67429928741078,51634.630906,54595.00496637356,1.0,0.0,10.7825,54584.22246637356,0.0,1023.2592500000001
71.64,40.883395577486645,52339.462403,54609.41204642901,0.7368421052631579,0.0,10.7825,54598.62954642901,0.0,772.4583
61.89,36.22052057658612,52291.546615,54418.57588026335,0.47368421052631576,0.0,10.7825,54407.79338026335,0.0,667.328925
48.18,30.48668667534869,51968.449475,56174.1437538269,0.21052631578947367,0.0,8.626,56165.517753826905,0.0,415.60067999999995
39.2,27.01221915081821,50629.99185,52657.25837709034,0.0,0.0,0.0,52657.25837709034,0.0,0.0
36.76,18.83449135269846,49358.445363,51679.43347524643,0.0,0.0,0.0,51679.43347524643,0.0,0.0
31.0,21.760591568025372,48446.754417,45095.51076731904,0.5,10.7825,0.0,45106.293267319044,0.0,-334.2575
30.46,18.0332892707276,48196.133326,48004.180019246574,0.7375,10.7825,0.0,48014.962519246576,0.0,-328.43495
30.05,649.9250000000018,48321.475194,47751.045896895674,0.9750000000000001,0.0,10.7825,47740.26339689567,0.0,324.01412500000004
29.67,650.954999999998,48924.893455,46832.223498051266,0.711842105263158,0.0,10.7825,46821.440998051265,0.0,319.91677500000003
30.93,650.947499999999,50306.605345,47137.563560771814,0.44868421052631596,0.0,10.7825,47126.78106077181,0.0,333.502725
39.67,72.97950501542049,52592.139491,51395.460539566746,0.18552631578947387,10.7825,0.0,51406.24303956675,0.0,-427.741775
95.15,104.22571054705274,55596.584937,54232.171421725194,0.42302631578947386,0.0,6.5503687500000085,54225.62105297519,0.0,623.2675865625008
100.52,258.7755712056807,57598.546605,56440.8078135066,0.2631578947368421,0.0,10.7825,56430.0253135066,0.0,1083.8569
47.34,31.63111548592186,56961.417347,55326.01194305511,0.0,0.0,0.0,55326.01194305511,0.0,0.0
34.18,23.3508484727171,54377.357734,49267.614950664574,0.0,0.0,0.0,49267.614950664574,0.0,0.0
29.11,21.553838503173875,51544.976295,47139.5800621598,0.0,0.0,0.0,47139.5800621598,0.0,0.0
27.22,18.942094422747076,48711.547901,44907.816361189754,0.0,0.0,0.0,44907.816361189754,0.0,0.0
26.59,16.966640551934656,46360.050872,43988.31571195756,0.0,10.7825,0.0,43999.098211957564,0.0,-286.706675
25.06,18.588571428571417,44448.850943,42870.602059607125,0.2375,2.2699999999999974,0.0,42872.87205960712,0.0,-56.88619999999993
24.18,15.946962207175854,43060.114499,41592.668906677725,0.2874999999999999,10.7825,0.0,41603.45140667773,0.0,-260.72085
23.14,17.037692307692286,42424.666782,40865.40499602848,0.5249999999999999,10.7825,0.0,40876.187496028484,0.0,-249.50705000000002
26.69,16.848333333333354,42581.428414,40683.66867054547,0.7625,10.7825,0.0,40694.45117054547,0.0,-287.78492500000004
47.05,26.23499999999992,44864.404451,44173.94289294185,1.0,0.0,10.7825,44163.16039294185,0.0,507.316625
35.06,33.67429928741078,48021.259001,46894.63180892043,0.7368421052631579,0.0,10.7825,46883.84930892043,0.0,378.03445000000005
30.6,24.582916447893027,48924.814763,47979.54493889334,0.47368421052631576,0.0,10.7825,47968.76243889334,0.0,329.94450000000006
