prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
10.36,19.951019009931297,35609.173887,34845.987812718995,0.5,0.0,0.0,0.0,0.0,0.0
9.85,18.68025476645048,35012.298856,33644.66495524769,0.5,1.134999999999996,0.0,1.134999999999996,0.0,-11.17974999999996
8.58,17.54304078903866,34369.582295,35174.20440233354,0.5249999999999999,10.7825,0.0,10.7825,0.0,-92.51385
8.16,18.825166769348392,34000.730337,35310.22859887082,0.7625,0.0,0.0,0.0,0.0,0.0
8.31,14.64783533954283,33865.078669,34971.24189028163,0.7625,10.7825,0.0,10.7825,0.0,-89.60257500000002
8.55,23.236254260907995,34067.631206,35781.95244853699,1.0,0.0,0.0,0.0,0.0,0.0
13.73,24.48953765191922,34581.277597,36947.86321022903,1.0,0.0,0.0,0.0,0.0,0.0
14.27,22.69729510984884,35096.246776,38559.491545067016,1.0,0.0,0.0,0.0,0.0,0.0
14.95,31.335312500000047,35734.404528,37687.587331667266,1.0,0.0,10.7825,0.21749999999999936,11.0,161.198375
14.81,38.09000000000009,36439.845839,38728.57021063003,0.7368421052631579,0.0,10.7825,0.21749999999999936,11.0,159.688825
16.95,19.4722328623757,36744.05012,40367.29607099134,0.47368421052631576,10.7825,0.0,10.7825,0.0,-182.763375
17.4,29.530920398009837,37129.346639,40780.51894822096,0.7111842105263158,0.0,10.7825,0.21749999999999936,11.0,187.6155
16.93,21.611481481481448,37712.230001,41972.30192988314,0.44802631578947366,10.7825,0.0,10.7825,0.0,-182.547725
17.61,18.456000000000063,37983.334375,41494.95019760543,0.6855263157894737,10.7825,0.0,10.7825,0.0,-189.879825
18.91,27.741873015873164,38646.237692,41526.4719283624,0.9230263157894736,0.0,6.577324999999998,0.4226750000000017,7.0,124.37721574999996
16.62,16.723333333333354,39378.862698,42116.91350993112,0.7625,10.7825,0.0,10.7825,0.0,-179.20515000000003
24.4,48.264131502548906,39596.636896,42140.63325959174,1.0,0.0,10.7825,0.21749999999999936,11.0,263.093
32.71,64.96291666666696,40241.542928,42279.040499425304,0.7368421052631579,0.0,10.7825,0.21749999999999936,11.0,352.695575
23.64,44.82727957102573,41594.989976,44490.57975363276,0.47368421052631576,0.0,10.7825,0.21749999999999936,11.0,254.89830000000003
18.16,30.596249251006498,41207.74756,43081.84026479009,0.21052631578947367,0.0,8.626,0.37400000000000055,9.0,156.64816
15.95,29.732459016393474,40723.690532,42352.95776465334,0.0,0.0,0.0,0.0,0.0,0.0
16.65,21.631145669291296,39941.492043,41288.947800109985,0.0,10.7825,0.0,10.7825,0.0,-179.528625
13.38,23.30821030272234,38748.035819,38311.417462168814,0.2375,0.0,0.0,0.0,0.0,0.0
8.94,24.89977272727268,37239.666045,36370.67451777267,0.2375,0.0,9.73120625,0.2687937500000004,10.0,86.996983875
8.58,13.444269303455329,35706.698815,35131.02357981239,0.5,10.7825,0.0,10.7825,0.0,-92.51385
4.24,15.957796022225386,34715.642512,34485.69189803205,0.7375,0.0,0.0,0.0,0.0,0.0
3.36,10.586623042131665,34044.648301,33424.687192053905,0.7375,10.7825,0.0,10.7825,0.0,-36.2292
3.3,17.608013460100516,33752.799482,34913.17836880044,0.9750000000000001,0.0,8.706868750000007,0.29313124999999296,9.0,28.73266687500002
6.58,13.113818204797482,33961.889782,34931.62330313186,0.7625,10.7825,0.0,10.7825,0.0,-70.94885000000001
8.81,23.8798886304467,34696.424375,36711.43735216574,1.0,0.0,0.0,0.0,0.0,0.0
12.88,30.332274405949807,35943.734608,39804.47724878273,1.0,0.0,10.7825,0.21749999999999936,11.0,138.8786
15.85,28.291683376833152,37044.826982,42018.62350037964,0.7368421052631579,0.0,10.7825,0.21749999999999936,11.0,170.902625
17.78,26.93869565217392,38050.091886,40243.79416518411,0.47368421052631576,0.0,6.577325000000007,0.4226749999999928,7.0,116.94483850000013
