method,stress_regime,n_days,mean_day_profit,std_day_profit,median_day_profit,p5_day_profit,total_profit
GPT4,High Volatility,29,1760.8410344827587,724.1165399118374,1987.48,471.694,51064.39
GPT4,Normal,316,1646.3524367088608,561.0427710199342,1663.935,620.44,520247.37
GPT4,Spike + High Vol,8,1591.51125,592.655665300265,1602.6799999999998,890.4945,12732.09
GPT4,Spike Event,11,2174.041818181818,330.2862684950188,2154.97,1659.8049999999998,23914.46
HeurQuantile,High Volatility,29,1163.3833035548757,505.2694601247345,1138.6159449999996,334.1714639999997,33738.115803091394
HeurQuantile,Normal,316,1241.9194059176418,509.6897119638539,1284.8103794999993,369.89341749999943,392446.5322699748
HeurQuantile,Spike + High Vol,8,2202.4713794563704,409.45898015116893,2388.5178493254834,1580.7862775249992,17619.771035650963
HeurQuantile,Spike Event,11,1746.3364150543932,557.5165533075353,1999.0629749999994,673.0715099999993,19209.700565598327
HeurTime,High Volatility,29,1505.3356839655162,389.0594421311563,1523.3082584999988,773.9173916999987,43654.73483499997
HeurTime,Normal,316,1190.6790262737331,316.8401633749876,1159.519118249999,684.3647666249988,376254.57230249967
HeurTime,Spike + High Vol,8,1637.9463044374986,366.08028779909455,1724.6647707499985,1190.6453722249985,13103.570435499989
HeurTime,Spike Event,11,1476.5689339090895,224.3910559844866,1492.7115889999989,1223.6412489999984,16242.258272999985
MILP,High Volatility,29,2153.6076415658613,348.33172429977685,2132.0528365,1565.2497958000001,62454.62160540997
MILP,Normal,316,1686.5405437062661,326.64809241092905,1652.1073651087254,1198.283672990651,532946.8118111801
MILP,Spike + High Vol,8,2395.3131157016965,251.02632197559836,2334.924780264543,2142.3510521004155,19162.50492561357
MILP,Spike Event,11,1951.1800528937295,324.35638158483044,1880.4582224999997,1547.536805243767,21462.980581831023
RL-PPO,High Volatility,29,1841.2799873230056,385.3898852958936,1782.8515039066385,1193.806817896103,53397.11963236716
RL-PPO,Normal,316,1504.2610274231329,359.80678853732644,1465.6506903673899,983.6100621829708,475346.48466571
RL-PPO,Spike + High Vol,8,2350.885339712228,270.8561520218638,2396.483126474987,1974.932671667826,18807.082717697824
RL-PPO,Spike Event,11,1787.0619401274553,520.6327019101217,1964.1524968905062,798.405710489254,19657.681341402007
