day_index,date,price_max,price_min,price_mean,price_std,price_range,abs_hourly_change_mean,abs_hourly_change_max,spike_count_q95,is_spike_day,is_high_vol_day,stress_regime
0,2019-01-01,66.26,20.0,44.10208333333333,16.0929476801558,46.260000000000005,4.944782608695653,15.64,2,False,True,High Volatility
1,2019-01-02,80.08,49.43,65.05833333333334,9.560780697005445,30.65,4.507391304347825,12.510000000000005,2,False,False,Normal
2,2019-01-03,76.0,44.14,54.71083333333333,9.040369325211882,31.86,4.29304347826087,12.899999999999999,2,False,False,Normal
3,2019-01-04,81.22,38.54,59.3425,13.986994036386552,42.68,5.895217391304348,19.090000000000003,2,False,True,High Volatility
4,2019-01-05,66.8,21.86,46.30291666666667,12.49344331662801,44.94,4.392608695652174,10.969999999999999,2,False,True,High Volatility
5,2019-01-06,59.41,21.41,40.07041666666667,9.021166163488806,38.0,3.7491304347826078,11.43,2,False,False,Normal
6,2019-01-07,81.08,46.24,62.76833333333334,11.159737672881754,34.839999999999996,4.569565217391305,12.999999999999993,2,False,False,Normal
7,2019-01-08,67.2,41.0,51.25625,7.4542633336786635,26.200000000000003,3.1678260869565222,10.290000000000006,2,False,False,Normal
8,2019-01-09,68.39,44.38,49.71125,5.292294901655324,24.009999999999998,2.8856521739130425,12.219999999999999,2,False,False,Normal
9,2019-01-10,78.47,43.11,60.520833333333336,11.71062576453972,35.36,4.860869565217392,14.700000000000003,2,False,False,Normal
10,2019-01-11,53.05,36.02,42.13791666666666,5.034673668598127,17.029999999999994,1.8626086956521737,6.849999999999994,2,False,False,Normal
11,2019-01-12,56.42,38.23,46.803333333333335,5.2959440318422715,18.190000000000005,2.02608695652174,7.3600000000000065,2,False,False,Normal
12,2019-01-13,81.03,49.58,65.45625,9.054198551668918,31.450000000000003,3.6195652173913038,12.719999999999999,2,False,False,Normal
13,2019-01-14,86.08,39.75,64.92125,13.509050529021357,46.33,4.715217391304348,13.759999999999998,2,False,True,High Volatility
14,2019-01-15,91.56,52.43,71.93416666666667,12.382704247972399,39.13,5.333913043478261,12.840000000000003,2,True,True,Spike + High Vol
15,2019-01-16,95.41,59.01,72.39125,10.548078461934688,36.4,5.463913043478261,13.569999999999993,2,True,False,Spike Event
16,2019-01-17,84.27,56.26,69.27416666666666,9.05748113399932,28.009999999999998,3.6873913043478264,9.719999999999999,2,False,False,Normal
17,2019-01-18,93.28,55.0,71.17083333333333,10.834559406650179,38.28,4.7208695652173915,14.510000000000005,2,True,False,Spike Event
18,2019-01-19,82.59,60.37,69.03916666666667,7.331506112938731,22.220000000000006,3.3856521739130443,11.460000000000008,2,False,False,Normal
19,2019-01-20,81.33,58.59,65.97875,6.735658718311462,22.739999999999995,2.5404347826086946,7.839999999999989,2,False,False,Normal
20,2019-01-21,88.16,54.48,72.53750000000001,10.91731622140995,33.68,3.8017391304347825,10.830000000000005,2,True,False,Spike Event
21,2019-01-22,88.76,60.65,71.81958333333334,8.60543633998005,28.110000000000007,3.458260869565218,10.379999999999995,2,True,False,Spike Event
22,2019-01-23,94.97,60.39,77.11333333333333,11.819929620428539,34.58,4.126956521739129,11.809999999999988,2,True,False,Spike Event
23,2019-01-24,108.38,62.68,83.24,15.909204062838697,45.699999999999996,5.564782608695652,20.569999999999993,2,True,True,Spike + High Vol
24,2019-01-25,92.99,55.32,69.50208333333333,9.911369395653734,37.669999999999995,4.577826086956522,14.420000000000002,2,True,False,Spike Event
25,2019-01-26,80.32,49.9,61.512499999999996,8.501567246818311,30.419999999999995,4.016521739130434,12.219999999999999,2,False,False,Normal
26,2019-01-27,76.87,53.28,62.848749999999995,5.627502583392295,23.590000000000003,2.867391304347827,8.29,2,False,False,Normal
27,2019-01-28,77.1,37.8,61.01,12.152235435793552,39.3,3.8604347826086958,13.200000000000003,2,False,False,Normal
28,2019-01-29,86.92,55.0,70.56916666666667,10.657882535706968,31.92,4.09086956521739,11.450000000000003,2,True,False,Spike Event
29,2019-01-30,89.23,58.38,71.205,9.828882903485766,30.85,4.03086956521739,13.010000000000005,2,True,False,Spike Event
30,2019-01-31,85.46,44.65,63.92416666666667,12.066605342545751,40.809999999999995,4.6008695652173905,14.57,2,False,False,Normal
31,2019-02-01,74.57,36.0,59.145,11.891924187008811,38.56999999999999,4.3826086956521735,14.100000000000001,2,False,False,Normal
32,2019-02-02,68.2,42.71,55.60208333333333,8.020228219222057,25.490000000000002,3.3313043478260873,9.36,2,False,False,Normal
33,2019-02-03,71.65,39.48,50.88708333333333,9.09297506160742,32.17000000000001,4.126086956521739,14.729999999999997,2,False,False,Normal
34,2019-02-04,77.9,47.99,58.009166666666665,8.991346524233208,29.910000000000004,5.206956521739131,13.61,2,False,False,Normal
35,2019-02-05,73.09,47.77,60.13791666666666,7.563350407329938,25.32,4.112608695652174,9.780000000000001,2,False,False,Normal
36,2019-02-06,60.04,10.0,33.63916666666667,12.172022773795533,50.04,4.490869565217391,10.900000000000006,2,False,False,Normal
37,2019-02-07,75.12,51.8,63.99166666666667,7.9151613824447615,23.320000000000007,3.5599999999999996,13.129999999999995,2,False,False,Normal
38,2019-02-08,56.74,40.64,47.56916666666667,4.617462051506376,16.1,2.2117391304347827,8.54,2,False,False,Normal
39,2019-02-09,74.57,39.64,61.13041666666667,13.324566223192102,34.92999999999999,3.954347826086956,17.620000000000005,2,False,True,High Volatility
40,2019-02-10,81.78,41.0,61.036249999999995,13.070778497988492,40.78,5.504347826086955,15.809999999999995,2,False,True,High Volatility
41,2019-02-11,57.46,31.3,42.10208333333333,7.97339815133486,26.16,3.6482608695652177,10.729999999999997,2,False,False,Normal
42,2019-02-12,70.85,34.46,52.31375,10.387020250000143,36.38999999999999,3.6865217391304337,10.079999999999998,2,False,False,Normal
43,2019-02-13,79.57,39.54,54.16583333333333,11.414147939658296,40.029999999999994,5.1673913043478255,12.569999999999993,2,False,False,Normal
44,2019-02-14,84.18,42.0,57.12916666666666,11.880911953237419,42.18000000000001,5.294347826086956,15.280000000000001,2,False,False,Normal
45,2019-02-15,73.94,43.45,55.2075,9.699608351573431,30.489999999999995,4.582173913043477,11.730000000000004,2,False,False,Normal
46,2019-02-16,73.79,40.8,53.780833333333334,10.026536927255753,32.99000000000001,3.976521739130435,12.560000000000002,2,False,False,Normal
47,2019-02-17,76.16,41.33,56.67124999999999,9.480156076728402,34.83,3.6486956521739127,11.5,2,False,False,Normal
48,2019-02-18,85.15,42.79,62.80125,12.846391918592824,42.36000000000001,5.281304347826087,15.379999999999995,2,False,True,High Volatility
49,2019-02-19,78.46,49.58,58.382083333333334,8.662217799740722,28.879999999999995,3.9795652173913045,11.219999999999999,2,False,False,Normal
50,2019-02-20,80.81,48.92,59.645,8.974018052132504,31.89,3.9791304347826086,12.269999999999996,2,False,False,Normal
51,2019-02-21,79.65,51.3,62.374583333333334,8.393107927842095,28.35000000000001,4.366521739130435,11.670000000000002,2,False,False,Normal
52,2019-02-22,70.6,47.73,58.115833333333335,6.346577247116999,22.869999999999997,3.5626086956521728,6.530000000000001,2,False,False,Normal
53,2019-02-23,68.78,34.67,50.655,9.252782425232727,34.11,4.631304347826087,14.030000000000001,2,False,False,Normal
54,2019-02-24,70.0,31.0,45.584583333333335,11.944600009379057,39.0,4.38304347826087,11.5,2,False,False,Normal
55,2019-02-25,82.91,36.37,57.38708333333333,14.451815134729815,46.54,5.177391304347827,15.920000000000002,2,False,True,High Volatility
56,2019-02-26,75.56,43.18,57.71125,9.76068926312606,32.38,4.88608695652174,14.93,2,False,False,Normal
57,2019-02-27,75.35,38.0,54.83083333333334,11.439472820274412,37.349999999999994,4.9513043478260865,10.79,2,False,False,Normal
58,2019-02-28,76.88,47.36,59.97958333333333,9.035529136434805,29.519999999999996,4.950434782608695,11.340000000000003,2,False,False,Normal
59,2019-03-01,74.48,40.61,59.73833333333334,11.327069795182148,33.870000000000005,2.941304347826087,13.130000000000003,2,False,False,Normal
60,2019-03-02,79.45,40.0,54.70875,10.530575075134477,39.45,3.7073913043478264,9.189999999999998,2,False,False,Normal
61,2019-03-03,68.8,45.15,53.08583333333333,7.461509298693713,23.65,3.1443478260869564,9.750000000000007,2,False,False,Normal
62,2019-03-04,86.83,44.15,60.140833333333326,13.008498197805881,42.68,5.917826086956524,20.650000000000006,2,True,True,Spike + High Vol
63,2019-03-05,70.84,49.75,60.27375,6.205383225737217,21.090000000000003,4.170434782608696,11.249999999999993,2,False,False,Normal
64,2019-03-06,59.76,36.48,47.64166666666667,7.137217620496019,23.28,3.5213043478260873,10.68,2,False,False,Normal
65,2019-03-07,75.6,48.48,61.91791666666666,9.298813846361014,27.119999999999997,3.5643478260869554,9.950000000000003,2,False,False,Normal
66,2019-03-08,59.02,37.34,46.345416666666665,6.514138455608737,21.68,2.3447826086956516,8.149999999999999,2,False,False,Normal
67,2019-03-09,71.2,40.51,53.27666666666667,9.081111149531479,30.690000000000005,4.393913043478261,14.07,2,False,False,Normal
68,2019-03-10,71.65,39.66,55.59125,11.077237653031519,31.99000000000001,4.4300000000000015,11.100000000000001,2,False,False,Normal
69,2019-03-11,42.83,7.13,27.440416666666668,10.70201625829234,35.699999999999996,3.170434782608696,10.98,2,False,False,Normal
70,2019-03-12,74.98,39.68,56.02041666666667,10.619138374597092,35.300000000000004,4.553043478260871,12.21,2,False,False,Normal
