prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
55.26,57.94,28.28,24.71,0.5,0.0,12.36,12.35,0.0,880.29
54.2,51.61,26.75,28.88,0.2368,0.0,11.12,17.76,0.0,487.47
52.7,43.8,25.94,27.02,0.0,0.0,0.0,27.02,0.0,-56.92
49.97,39.99,25.71,26.42,-0.0,12.36,0.0,38.78,0.0,-653.11
49.43,37.56,25.94,26.25,0.2375,12.36,0.0,38.61,0.0,-626.28
54.83,36.48,27.52,26.49,0.475,12.36,0.0,38.85,0.0,-621.22
62.9,37.04,32.56,29.2,0.7125,12.36,0.0,41.56,0.0,-566.1
66.69,40.17,39.06,33.67,0.95,2.6,0.0,36.27,0.0,185.92
79.2,45.1,43.42,39.0,1.0,0.0,-0.0,39.0,0.0,350.06
80.08,48.95,44.75,43.02,1.0,0.0,-0.0,43.02,0.0,138.54
73.25,50.59,44.39,44.46,1.0,0.0,9.95,34.51,0.0,723.7
74.7,50.7,43.98,44.15,0.7882,0.0,12.36,31.79,0.0,910.59
66.92,49.04,41.52,43.37,0.525,0.0,0.0,43.37,0.0,-123.8
63.03,47.0,40.86,41.58,0.525,0.0,0.0,41.58,0.0,-45.38
69.66,45.51,42.03,41.13,0.525,12.36,0.0,53.49,0.0,-798.3
68.93,45.3,42.43,42.16,0.7625,12.36,0.0,54.52,0.0,-833.36
66.55,47.03,43.04,42.89,1.0,0.0,0.0,42.89,0.0,9.98
73.22,50.02,44.49,43.81,1.0,0.0,0.0,43.81,0.0,49.79
79.08,53.27,45.65,44.94,1.0,0.0,12.36,32.58,0.0,1033.58
74.28,56.03,44.12,44.83,0.7368,0.0,12.36,32.47,0.0,865.36
69.37,56.07,40.78,43.78,0.4737,0.0,12.36,31.42,0.0,649.3
63.58,53.14,37.5,41.45,0.2105,0.0,9.89,31.56,0.0,377.54
59.46,49.73,33.73,38.48,0.0,0.0,-0.0,38.48,0.0,-282.43
54.11,46.41,30.36,35.01,0.0,0.0,-0.0,35.01,0.0,-251.61
48.33,42.25,28.41,30.94,0.5,12.36,0.0,40.77,0.0,-597.36
46.1,59.75,26.85,25.62,0.7375,0.0,9.92,16.93,0.0,457.3
44.81,66.67,26.0,22.18,0.5263,0.0,12.36,13.64,0.0,553.73
44.14,63.21,25.76,21.08,0.2632,0.0,12.36,13.4,0.0,545.66
44.56,56.94,26.12,20.91,0.0,0.0,0.0,26.12,0.0,0.0
47.6,44.08,27.54,21.01,0.0,12.36,0.0,39.9,0.0,-588.34
60.5,44.04,32.36,21.47,0.2375,12.36,0.0,44.72,0.0,-747.78
59.62,49.03,37.28,22.84,0.475,12.36,0.0,49.64,0.0,-736.9
62.84,59.52,41.42,26.15,0.7125,0.0,8.75,32.67,0.0,549.56
57.52,68.52,41.94,27.89,0.5263,0.0,12.36,29.58,0.0,710.79
52.67,67.15,41.33,27.37,0.2632,0.0,12.36,28.97,0.0,651.11
49.85,54.19,40.72,26.55,0.0,0.0,0.0,40.72,0.0,0.0
47.21,49.19,38.39,25.45,0.0,2.6,0.0,40.99,0.0,-122.85
45.72,44.92,37.9,24.36,0.05,12.36,0.0,50.26,0.0,-565.1
49.03,41.96,39.12,24.46,0.2875,12.36,0.0,51.48,0.0,-606.01
53.0,44.23,39.52,26.07,0.525,12.36,0.0,51.88,0.0,-655.08
56.55,46.45,40.29,28.71,0.7625,12.36,0.0,52.65,0.0,-698.96
62.84,50.03,40.72,31.34,1.0,0.0,0.0,40.72,0.0,0.0
71.94,56.72,43.0,34.52,1.0,0.0,12.36,30.64,0.0,889.32
76.0,67.15,42.63,39.25,0.7368,0.0,12.36,30.27,0.0,939.15
68.28,66.29,40.39,42.21,0.4737,0.0,12.36,28.03,0.0,844.08
60.74,56.04,37.16,40.38,0.2105,0.0,9.89,27.27,0.0,600.52
53.9,51.33,33.48,37.16,0.0,0.0,0.0,33.48,0.0,0.0
49.31,48.73,30.06,29.77,0.0,0.0,0.0,30.06,0.0,0.0
47.58,46.24,23.63,23.68,0.5,0.0,0.0,23.68,0.0,-2.38
42.41,48.55,22.21,22.33,0.5,0.0,9.98,12.35,0.0,418.19
38.54,43.86,21.67,21.72,0.2875,0.0,0.0,21.72,0.0,-1.93
38.62,42.25,21.49,21.3,0.2875,12.36,0.0,33.66,0.0,-470.01
39.06,41.03,21.91,21.43,0.525,12.36,0.0,33.79,0.0,-464.03
47.86,41.04,23.9,21.6,0.7625,12.36,0.0,33.96,0.0,-481.47
55.28,43.88,29.02,21.38,1.0,0.0,0.0,21.38,0.0,422.34
74.37,49.16,33.83,21.57,1.0,0.0,9.89,11.68,0.0,1647.15
79.28,55.42,38.56,23.35,0.7895,0.0,12.36,10.99,0.0,2185.75
75.17,58.27,39.14,26.33,0.5263,0.0,12.36,13.97,0.0,1892.03
59.28,54.64,38.58,24.66,0.2632,0.0,12.36,12.3,0.0,1557.88
56.34,44.98,37.97,24.23,-0.0,0.0,0.0,24.23,0.0,774.11
51.07,31.46,35.77,24.51,0.0,0.0,0.0,24.51,0.0,575.05
50.46,23.21,35.64,23.1,-0.0,12.36,0.0,35.46,0.0,9.08
52.87,16.4,36.65,21.49,0.2375,12.36,0.0,33.85,0.0,148.04
57.29,12.77,37.14,21.09,0.475,12.36,0.0,33.45,0.0,211.4
58.72,16.2,37.46,21.29,0.7125,12.36,0.0,33.65,0.0,223.72
63.23,30.37,37.45,21.79,0.95,2.6,0.0,24.39,0.0,825.65
76.13,42.95,37.55,22.87,1.0,-0.0,0.0,22.87,0.0,1117.59
78.14,50.63,38.29,24.43,1.0,0.0,-0.0,24.43,0.0,1083.02
81.22,64.7,39.21,26.94,1.0,0.0,12.36,14.58,0.0,2000.45
77.98,73.96,36.68,28.06,0.7368,0.0,12.36,15.7,0.0,1636.02
68.33,66.12,33.17,27.03,0.4737,0.0,12.36,14.67,0.0,1264.1
54.99,57.34,29.68,24.2,0.2105,0.0,9.89,14.31,0.0,845.09
52.83,48.46,23.66,23.66,0.5,12.36,0.0,36.02,0.0,-652.98
55.13,57.91,22.14,21.73,0.7375,0.0,12.36,9.78,0.0,681.52
49.65,59.09,21.12,21.49,0.4743,0.0,12.36,8.76,0.0,613.54
47.17,54.43,20.63,21.2,0.2112,0.0,7.51,13.12,0.0,354.26
44.68,51.19,20.14,21.07,0.0513,0.0,0.0,20.14,0.0,0.0
46.7,45.99,20.21,20.97,0.0513,12.36,0.0,32.57,0.0,-577.21
45.61,45.75,19.98,20.96,0.2888,12.36,0.0,32.34,0.0,-563.74
48.75,51.19,21.25,21.66,0.5263,0.0,0.0,21.25,0.0,0.0
46.99,55.09,22.65,23.23,0.5263,0.0,12.36,10.29,0.0,580.67
43.82,57.91,23.35,24.14,0.2632,0.0,12.36,10.99,0.0,541.7
41.83,51.64,23.55,24.08,0.0,0.0,0.0,23.55,0.0,0.0
33.03,44.89,23.57,23.6,0.0,0.0,0.0,23.57,0.0,0.0
30.74,40.08,23.26,23.67,0.0,0.0,0.0,23.26,0.0,0.0
21.86,31.62,22.16,23.29,0.0,12.36,0.0,34.52,0.0,-270.19
21.87,24.33,21.7,22.7,0.2375,12.36,0.0,34.06,0.0,-270.31
29.45,22.55,21.66,21.77,0.475,12.36,0.0,34.02,0.0,-364.0
38.83,27.33,22.01,21.55,0.7125,12.36,0.0,34.37,0.0,-479.94
44.39,37.12,22.96,22.75,0.95,2.6,0.0,25.56,0.0,-115.51
55.36,46.12,24.47,25.39,1.0,0.0,0.0,24.47,0.0,0.0
61.0,51.18,26.5,27.54,1.0,0.0,0.0,26.5,0.0,0.0
66.8,60.54,28.49,28.44,1.0,0.0,9.89,18.6,0.0,660.44
66.13,77.03,28.3,29.26,0.7895,0.0,12.36,15.94,0.0,817.5
62.05,78.97,26.04,29.75,0.5263,0.0,12.36,13.68,0.0,766.77
56.6,66.24,23.49,27.84,0.2632,0.0,12.36,11.13,0.0,699.69
59.41,56.9,27.21,25.34,0.5,0.0,12.36,12.98,0.0,845.4
47.98,54.01,25.76,26.74,0.2368,0.0,11.12,15.62,0.0,486.71
47.27,53.13,24.63,26.3,0.0,0.0,-0.0,26.3,0.0,-78.94
46.7,45.99,24.08,25.54,0.0,2.6,0.0,28.14,0.0,-189.7
45.44,42.02,23.92,25.12,0.05,12.36,0.0,37.48,0.0,-616.17
39.76,39.28,23.45,24.94,0.2875,12.36,0.0,37.3,0.0,-550.68
39.75,38.97,24.56,24.84,0.525,12.36,0.0,37.2,0.0,-502.44
39.49,44.68,27.65,25.77,0.7625,12.36,0.0,38.13,0.0,-413.86
43.75,63.17,30.11,28.58,1.0,0.0,7.54,21.04,0.0,396.8
42.82,68.26,30.91,32.57,0.8395,0.0,12.36,20.21,0.0,458.17
36.03,68.19,30.48,35.21,0.5763,0.0,12.36,22.85,0.0,274.91
30.03,63.61,29.86,36.32,0.3132,0.0,12.36,23.96,0.0,177.18
30.77,59.23,28.41,37.78,0.05,0.0,0.0,37.78,0.0,-288.31
26.38,54.39,27.26,37.66,0.05,12.36,0.0,50.02,0.0,-600.41
21.41,51.02,26.83,37.93,0.2875,12.36,0.0,50.29,0.0,-502.28
27.94,52.12,26.96,38.77,0.525,12.36,0.0,51.13,0.0,-675.31
30.46,56.97,27.52,39.23,0.7625,12.36,0.0,51.59,0.0,-733.17
32.91,61.75,28.26,38.89,1.0,0.0,0.0,38.89,0.0,-349.83
40.31,65.49,29.45,37.97,1.0,0.0,0.0,37.97,0.0,-343.44
45.93,71.27,30.98,37.44,1.0,0.0,9.89,27.55,0.0,157.45
50.78,77.54,31.01,37.01,0.7895,0.0,12.36,24.65,0.0,322.96
48.64,80.03,30.74,36.68,0.5263,0.0,12.36,24.32,0.0,312.27
45.81,73.97,28.54,35.53,0.2632,0.0,12.36,23.17,0.0,246.0
41.92,66.43,26.07,33.19,-0.0,0.0,0.0,33.19,0.0,-298.47
55.17,59.06,30.21,31.12,0.5,0.0,11.12,19.09,0.0,613.6
51.39,62.48,28.57,30.92,0.2632,0.0,12.36,16.21,0.0,635.28
46.7,55.79,27.41,29.65,0.0,0.0,0.0,27.41,0.0,0.0
46.27,51.87,26.96,28.95,0.0,0.0,0.0,26.96,0.0,0.0
46.24,49.52,27.11,29.32,0.0,12.36,0.0,39.47,0.0,-571.53
46.29,46.03,28.0,29.78,0.2375,12.36,0.0,40.36,0.0,-572.14
55.38,45.03,32.0,30.09,0.475,12.36,0.0,44.36,0.0,-684.5
68.38,46.86,37.02,32.53,0.7125,12.36,0.0,49.38,0.0,-845.18
71.62,50.14,42.69,37.55,0.95,2.6,0.0,45.29,0.0,-186.36
71.62,54.6,44.51,42.44,1.0,0.0,0.0,44.51,0.0,0.0
64.53,57.23,45.13,45.18,1.0,0.0,0.0,45.13,0.0,0.0
62.6,57.26,45.65,45.98,1.0,0.0,0.0,45.65,0.0,0.0
56.27,56.06,44.53,46.14,1.0,0.0,0.0,44.53,0.0,0.0
55.98,55.84,44.71,45.88,1.0,0.0,0.0,44.71,0.0,0.0
