prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
13.55,14.05,13842.38,14224.0,0.5,11.35,0.0,13853.73,0.0,-153.79
18.3,14.25,13511.7,13862.58,0.718093,11.35,0.0,13523.05,0.0,-207.71
22.23,16.24,13196.01,12737.87,0.936185,0.0,10.24,13185.77,0.0,227.64
26.66,14.4,13094.77,12791.3,0.718164,11.35,0.0,13106.12,0.0,-302.59
27.8,17.61,13188.0,12633.28,0.936257,0.0,0.0,13188.0,0.0,0.0
18.29,20.37,13433.98,12879.16,0.936257,0.0,0.0,13433.98,0.0,0.0
29.58,22.07,13924.33,13864.23,0.936257,0.0,10.24,13914.09,0.0,302.9
27.68,18.82,14469.54,14534.99,0.718236,0.0,10.24,14459.3,0.0,283.44
32.08,47.99,15144.68,15236.44,0.500216,0.0,10.24,15134.44,0.0,328.5
33.79,25.77,15806.5,15518.41,0.282195,0.0,10.24,15796.26,0.0,346.01
41.11,24.29,16425.85,15453.84,0.064174,11.35,0.0,16437.2,0.0,-466.6
46.73,28.39,16858.23,16986.24,0.282267,11.35,0.0,16869.58,0.0,-530.39
44.59,28.79,17001.24,15438.87,0.500359,11.35,0.0,17012.59,0.0,-506.1
36.46,26.25,16927.88,15548.28,0.718452,11.35,0.0,16939.23,0.0,-413.82
42.95,25.43,17160.38,16009.65,0.936545,0.0,10.24,17150.14,0.0,439.81
41.43,27.99,17418.18,16176.62,0.718524,0.0,10.24,17407.94,0.0,424.24
267.28,36.58,18498.21,17963.51,0.500503,0.0,10.24,18487.97,0.0,2736.95
59.47,35.36,18950.99,18522.79,0.282482,0.0,10.24,18940.75,0.0,608.97
37.39,20.36,18833.76,18068.12,0.064461,11.35,0.0,18845.11,0.0,-424.38
35.14,27.16,18479.4,18114.29,0.282554,11.35,0.0,18490.75,0.0,-398.84
41.31,25.6,17917.41,17594.12,0.500647,11.35,0.0,17928.76,0.0,-468.87
35.2,22.3,17207.47,17293.48,0.718739,11.35,0.0,17218.82,0.0,-399.52
36.34,24.16,16291.62,16598.66,0.936832,0.0,10.24,16281.38,0.0,372.12
35.05,25.18,15508.78,15616.67,0.718811,0.0,10.24,15498.54,0.0,358.91
34.32,18.55,14974.74,14862.76,0.5,11.35,0.0,14986.09,0.0,-389.53
27.98,18.81,14671.13,14549.61,0.718093,0.0,0.0,14671.13,0.0,0.0
22.34,18.93,14513.06,14577.73,0.718093,0.0,0.0,14513.06,0.0,0.0
30.73,17.66,14712.75,14465.81,0.718093,11.35,0.0,14724.1,0.0,-348.79
29.52,21.58,15057.55,14923.76,0.936185,0.0,0.0,15057.55,0.0,0.0
27.87,24.52,16152.15,15747.88,0.936185,0.0,0.0,16152.15,0.0,0.0
33.16,26.99,17620.29,17634.84,0.936185,0.0,0.0,17620.29,0.0,0.0
36.84,38.84,18719.8,18451.34,0.936185,0.0,10.24,18709.56,0.0,377.24
322.27,33.37,19361.9,19549.81,0.718164,11.35,0.0,19373.25,0.0,-3657.76
69.32,42.17,19868.17,20191.03,0.936257,0.0,0.0,19868.17,0.0,0.0
66.08,58.85,20102.92,20424.36,0.936257,0.0,10.24,20092.68,0.0,676.66
76.13,63.87,20241.92,20245.32,0.718236,0.0,10.24,20231.68,0.0,779.57
69.71,173.84,20234.75,20582.75,0.500216,0.0,10.24,20224.51,0.0,713.83
82.85,48.81,20222.46,20702.31,0.282195,0.0,0.0,20222.46,0.0,0.0
98.77,43.87,20280.29,20209.89,0.282195,11.35,0.0,20291.64,0.0,-1121.04
107.5,48.62,20492.47,20268.42,0.500287,11.35,0.0,20503.82,0.0,-1220.12
136.94,54.64,21392.02,21412.05,0.71838,0.0,10.24,21381.78,0.0,1402.27
318.52,63.83,22058.07,21847.26,0.500359,0.0,10.24,22047.83,0.0,3261.64
125.48,132.45,21638.35,21356.05,0.282339,0.0,10.24,21628.11,0.0,1284.92
91.13,37.49,21213.15,20523.17,0.064318,0.0,0.0,21213.15,0.0,0.0
181.85,47.28,20574.2,19940.11,0.064318,0.0,0.0,20574.2,0.0,0.0
91.82,40.47,19627.97,18983.12,0.064318,0.0,0.0,19627.97,0.0,0.0
45.05,36.76,18503.08,18424.35,0.064318,0.0,0.0,18503.08,0.0,0.0
50.09,34.94,17549.8,17253.33,0.064318,0.0,0.0,17549.8,0.0,0.0
74.71,28.29,16978.11,16141.51,0.5,1.14,0.0,16979.25,0.0,-85.17
54.45,27.77,16623.84,16298.8,0.521905,10.78,0.0,16634.62,0.0,-586.97
55.9,27.37,16330.0,15982.6,0.729045,10.78,0.0,16340.78,0.0,-602.6
47.46,29.81,16312.9,15698.78,0.936185,0.0,0.0,16312.9,0.0,0.0
136.11,35.82,16704.08,16044.63,0.936185,0.0,0.0,16704.08,0.0,0.0
201.2,34.71,17618.56,17121.16,0.936185,0.0,0.0,17618.56,0.0,0.0
223.15,38.44,19117.85,18915.62,0.936185,0.0,6.52,19111.33,0.0,1454.94
156.3,47.08,19873.5,19829.82,0.797367,0.0,10.78,19862.72,0.0,1684.91
79.48,57.31,20049.32,19720.79,0.567849,0.0,10.78,20038.54,0.0,856.79
46.94,46.69,19862.48,19839.42,0.338331,0.0,10.78,19851.7,0.0,506.01
83.18,37.61,19625.6,19757.56,0.108813,0.0,0.0,19625.6,0.0,0.0
78.25,36.66,19295.05,19552.62,0.108813,0.0,0.0,19295.05,0.0,0.0
78.13,34.37,19015.58,19392.41,0.108813,10.78,0.0,19026.36,0.0,-842.24
78.34,34.05,18925.91,19632.95,0.315953,10.78,0.0,18936.69,0.0,-844.51
75.64,34.94,19140.6,19251.64,0.523093,0.0,0.0,19140.6,0.0,0.0
85.82,36.03,19717.54,19636.92,0.523093,0.0,0.0,19717.54,0.0,0.0
120.7,42.39,20855.04,20581.14,0.523093,0.0,10.78,20844.26,0.0,1301.15
241.38,59.45,21573.78,21892.38,0.293575,0.0,10.78,21563.0,0.0,2602.08
74.11,25.88,21160.52,21082.74,0.064057,10.78,0.0,21171.3,0.0,-798.91
220.41,30.49,20649.25,20543.56,0.271197,0.0,0.0,20649.25,0.0,0.0
85.47,30.67,19854.07,19599.44,0.271197,0.0,9.73,19844.34,0.0,831.62
62.56,23.66,18931.85,18651.83,0.064035,10.78,0.0,18942.63,0.0,-674.4
325.81,24.29,17825.76,17739.0,0.271175,1.17,0.0,17826.93,0.0,-381.2
482.78,33.82,16782.4,16443.54,0.293657,0.0,10.78,16771.62,0.0,5204.37
79.75,21.64,16168.83,15490.65,0.5,1.14,0.0,16169.97,0.0,-90.92
82.95,20.62,15792.27,14901.21,0.521905,10.78,0.0,15803.05,0.0,-894.2
69.07,20.17,15519.93,14835.6,0.729045,10.78,0.0,15530.71,0.0,-744.57
65.42,19.63,15563.0,14731.08,0.936185,0.0,0.0,15563.0,0.0,0.0
74.63,20.83,15823.35,14967.49,0.936185,0.0,0.0,15823.35,0.0,0.0
86.56,24.44,16549.93,16119.33,0.936185,0.0,0.0,16549.93,0.0,0.0
96.48,27.4,17937.77,17226.16,0.936185,0.0,10.78,17926.99,0.0,1040.05
114.62,33.71,18867.42,18187.92,0.706667,10.78,0.0,18878.2,0.0,-1235.6
71.72,26.77,19244.35,18424.34,0.913807,0.0,0.0,19244.35,0.0,0.0
140.54,30.08,19481.01,18570.28,0.913807,0.0,10.78,19470.23,0.0,1515.02
113.99,33.94,19657.87,18825.06,0.684289,0.0,10.78,19647.09,0.0,1228.81
