date,day_index,soc_trajectory,gpt_reported_cost,computed_cost_actual,computed_cost_forecast,milp_actual_cost,feasible,violations,api_cost_usd
2019-01-02,0,"[0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.475, 0.475, 0.7125, 0.95, 1.0, 0.7368, 0.4737, 0.2105, 0.0, 0.0, 0.0, 0.0]",40500.0,57620.34409570864,41551.49362174073,57304.64730166206,False,t=17: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36,0.0125725
2019-01-03,1,"[0.5, 0.7375, 0.4743, 0.2111, 0.2111, 0.4486, 0.6861, 0.6861, 0.6861, 0.4229, 0.1597, 0.1597, 0.1597, 0.3972, 0.6347, 0.8722, 0.8722, 0.8722, 0.6089, 0.3457, 0.0825, 0.0825, 0.0825, 0.0825, 0.0]",34256.52,45902.577060408,34984.43617027823,45356.73145642106,False,t=1: discharge=12.3620 kW > dmax=12.36; t=2: discharge=12.3620 kW > dmax=12.36; t=8: discharge=12.3620 kW > dmax=12.36; t=9: discharge=12.3620 kW > dmax=12.36; t=17: discharge=12.3667 kW > dmax=12.36,0.01605
2019-01-04,2,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.2368, 0.0, 0.0, 0.0, 0.2375, 0.475, 0.7125, 0.95, 0.95, 0.95, 0.95, 0.6868, 0.4236, 0.1604, 0.0, 0.0]",21000.0,45680.665448704,22075.40568409225,44908.80584836564,False,t=8: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36; t=21: discharge=12.3620 kW > dmax=12.36,0.016195
2019-01-05,3,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0]",24500.0,23817.46101252632,26808.108096786844,23099.297816842103,True,,0.016115
2019-01-06,4,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0]",43800.0,25489.212276825256,44519.90137012801,24502.929626315785,True,,0.01397
2019-01-07,5,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.2104, 0.0, 0.0, 0.0, 0.0]",54650.48,58558.55189592084,55019.17723059837,58163.63115499721,False,t=17: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36,0.01718
2019-01-08,6,"[0.5, 0.7375, 0.4757, 0.4757, 0.7132, 0.9507, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7382, 0.4764, 0.2146, 0.0, 0.0, 0.0]",64500.0,46360.86406938443,65247.86773833095,45999.22918736842,True,,0.018115
2019-01-09,7,"[0.5, 0.2632, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.2875, 0.525, 0.7625, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.0]",60496.55,32236.01390636884,60496.56272048485,31957.53806947368,False,t=1: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36; t=22: discharge=12.3620 kW > dmax=12.36,0.0136525
2019-01-10,8,"[0.5, 0.5, 0.5, 0.737, 0.974, 1.0, 1.0, 1.0, 0.737, 0.474, 0.211, 0.211, 0.211, 0.211, 0.448, 0.685, 0.922, 1.0, 1.0, 0.737, 0.474, 0.211, 0.0, 0.0, 0.0]",54000.0,49635.58817530525,55320.03558409752,49450.93350487535,True,,0.0140925
2019-01-11,9,"[0.5, 0.5, 0.5, 0.5, 0.737, 0.974, 0.974, 0.974, 0.711, 0.448, 0.185, 0.185, 0.185, 0.422, 0.659, 0.896, 0.896, 0.896, 0.633, 0.37, 0.107, 0.0, 0.0, 0.0, 0.0]",51234.56,25442.63163361685,52542.53209199021,25130.749052631578,True,,0.0159625
2019-01-12,10,"[0.5, 0.7368, 0.9736, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",32000.0,30380.15382282105,33542.441144098,29659.638187368422,True,,0.0157875
2019-01-13,11,"[0.5, 0.5, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0]",34000.0,43609.78065157894,34930.358551628946,43211.840466,False,t=1: charge=13.0105 kW > cmax=12.36; t=2: charge=13.0105 kW > cmax=12.36,0.0135875
2019-01-14,12,"[0.5, 0.2375, 0.475, 0.7125, 0.95, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7375, 0.475, 0.2125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",41800.0,55876.08551121053,42457.38007382632,55677.06196570082,True,,0.017325
2019-01-15,13,"[0.5, 0.25, 0.25, 0.25, 0.25, 0.25, 0.95, 0.95, 0.95, 0.7, 0.7, 0.7, 0.7, 0.7, 0.95, 0.95, 0.95, 0.95, 0.95, 0.7, 0.7, 0.0, 0.0, 0.0, 0.0]",41200.0,64460.33290652632,41593.12572343789,63875.02886759556,False,t=5: charge=36.4295 kW > cmax=12.36; t=13: charge=13.0105 kW > cmax=12.36; t=20: discharge=32.8776 kW > dmax=12.36,0.01488
2019-01-16,14,"[0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4736, 0.2104, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",43200.0,64369.04146967748,44983.83077138136,63768.753909,False,t=8: discharge=12.3620 kW > dmax=12.36; t=9: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36,0.0160075
2019-01-17,15,"[0.5, 0.5, 0.7375, 0.975, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7368, 0.4737, 0.2105, 0.2105, 0.2875, 0.525, 0.7625, 1.0, 1.0, 0.7895, 0.5263, 0.2632, 0.0, 0.0, 0.0, 0.0]",47047.06,61347.26064182232,47224.35216970091,61110.95368,False,t=8: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36; t=18: discharge=12.3620 kW > dmax=12.36; t=20: discharge=12.3620 kW > dmax=12.36,0.014775
2019-01-18,16,"[0.5, 0.5, 0.5, 0.5, 0.7378, 0.9756, 1.0, 1.0, 1.0, 0.7387, 0.4774, 0.2161, 0.2161, 0.4539, 0.6917, 0.9295, 1.0, 1.0, 0.7387, 0.4774, 0.2161, 0.0, 0.0, 0.0, 0.0]",49386.99,62060.145929728846,49441.62757567303,62015.61707047368,False,t=3: charge=12.3756 kW > cmax=12.36; t=4: charge=12.3756 kW > cmax=12.36; t=12: charge=12.3756 kW > cmax=12.36; t=13: charge=12.3756 kW > cmax=12.36; t=14: charge=12.3756 kW > cmax=12.36,0.015115
2019-01-19,17,"[0.5, 0.5, 0.2368, 0.0, 0.0, 0.0, 0.2375, 0.475, 0.475, 0.475, 0.2632, 0.0, 0.0, 0.0, 0.0, 0.077, 0.3145, 0.552, 0.7895, 0.7895, 0.5263, 0.2632, 0.0, 0.0, 0.0]",37460.48,51381.53686335748,37460.47556881626,50505.06842231579,False,t=1: discharge=12.3620 kW > dmax=12.36; t=10: discharge=12.3620 kW > dmax=12.36; t=19: discharge=12.3620 kW > dmax=12.36; t=21: discharge=12.3620 kW > dmax=12.36,0.0191025
