prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
51.0,51.0,22.74,22.74,0.5,0.0,10.78,11.959999999999999,0.0,549.78
46.27,46.27,21.5,21.5,0.236903116106987,0.0,9.706749827809631,11.793250172190369,0.0,449.1313145327517
39.78,39.78,20.5,20.5,0.0,0.04708904300350696,0.0,20.547089043003506,0.0,-1.873202130679507
27.87,27.87,19.64,19.64,0.0010372035903856158,10.779999774950557,0.0,30.419999774950558,0.0,-300.43859372787205
22.0,22.0,19.3,19.3,0.23848213255405426,10.78,0.0,30.08,0.0,-237.16
20.0,20.0,19.65,19.65,0.47592708468437195,10.779998797178271,0.0,30.42999879717827,0.0,-215.59997594356543
20.9,20.9,20.86,20.86,0.713371992111206,10.78,0.0,31.64,0.0,-225.30199999999996
26.54,26.54,22.21,22.21,0.9508169293403625,2.2329114079475403,0.0,24.44291140794754,0.0,-59.26146876692772
25.0,25.0,23.13,23.13,1.0,0.0,0.0,23.13,0.0,0.0
25.0,25.0,24.38,24.38,1.0,0.0,0.0,24.38,0.0,0.0
34.64,34.64,25.29,25.29,1.0,0.0,0.0,25.29,0.0,0.0
41.03,41.03,25.88,25.88,1.0,0.0,0.0,25.88,0.0,0.0
48.97,48.97,26.09,26.09,1.0,0.0,0.0,26.09,0.0,0.0
41.06,41.06,24.73,24.73,1.0,0.0,0.0,24.73,0.0,0.0
37.95,37.95,24.27,24.27,1.0,0.0,0.0,24.27,0.0,0.0
53.59,53.59,24.6,24.6,1.0,0.0,0.0,24.6,0.0,0.0
58.65,58.65,25.9,25.9,1.0,0.0,0.0,25.9,0.0,0.0
64.64,64.64,29.11,29.11,1.0,0.0,10.779999561637641,18.330000438362358,0.0,696.8191716642572
65.0,65.0,30.11,30.11,0.7369031310081482,0.0,10.78,19.33,0.0,700.6999999999999
66.26,66.26,30.6,30.6,0.473806232213974,0.0,10.779999561637641,19.82000043836236,0.0,714.2827709541102
65.99,65.99,29.46,29.46,0.2107093632221222,0.0,8.633500093981624,20.826499906018377,0.0,569.7246712018473
62.75,62.75,28.07,28.07,0.0,0.0,0.0,28.07,0.0,0.0
58.65,58.65,25.93,25.93,0.0,0.0,0.0,25.93,0.0,0.0
54.91,54.91,23.46,23.46,0.0,0.0,0.0,23.46,0.0,0.0
55.26,55.26,28.28,28.28,0.5,5.882191491127014,0.0,34.16219149112702,0.0,-325.0499017996788
