prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
51.0,46.56980749,22.74,25.26011461,0.5,0.0,5.647926559731364,17.092073440268635,0.0,288.04425454629956
46.27,39.53773847,21.5,24.04358788,0.36215659976005554,5.015716707706452,0.0,26.515716707706453,0.0,-232.07721206557756
39.78,37.0457292,20.5,22.65896303,0.4726349413394928,5.433605378866196,0.0,25.933605378866197,0.0,-216.14882197129728
27.87,33.97309305,19.64,21.64553853,0.5923178791999817,10.78,0.0,30.42,0.0,-300.4386
22.0,33.77742699,19.3,22.08336775,0.8297628164291382,7.728768134117127,0.0,27.02876813411713,0.0,-170.0328989505768
20.0,38.45316148,19.65,22.12202695,1.0,0.0,0.0,19.65,0.0,0.0
20.9,46.85447987,20.86,22.14666667,1.0,0.0,0.0,20.86,0.0,0.0
26.54,54.84395765,22.21,25.12610667,1.0,0.0,0.0,22.21,0.0,0.0
25.0,58.57893156,23.13,28.17412223,1.0,0.0,0.0,23.13,0.0,0.0
25.0,53.37109246,24.38,29.68239749,1.0,0.0,0.0,24.38,0.0,0.0
34.64,53.19388942,25.29,27.41691718,1.0,0.0,0.0,25.29,0.0,0.0
41.03,50.15505505,25.88,29.55699994,1.0,0.0,0.0,25.88,0.0,0.0
48.97,49.06797744,26.09,29.56387416,1.0,0.0,0.0,26.09,0.0,0.0
41.06,50.47452,24.73,27.9,1.0,0.0,0.0,24.73,0.0,0.0
37.95,52.19668328,24.27,27.81625,1.0,0.0,0.0,24.27,0.0,0.0
53.59,59.96764545,24.6,28.89797657,1.0,0.0,0.0,24.6,0.0,0.0
58.65,66.90326064,25.9,30.39148336,1.0,0.0,0.0,25.9,0.0,0.0
64.64,61.94714286,29.11,31.63044248,1.0,0.0,10.779999561637641,18.330000438362358,0.0,696.8191716642572
65.0,65.59960145,30.11,35.75480032,0.7369031310081482,0.0,10.78,19.33,0.0,700.6999999999999
66.26,105.25,30.6,36.33831261,0.473806232213974,0.0,10.779999561637641,19.82000043836236,0.0,714.2827709541102
65.99,68.6268938,29.46,32.71125,0.2107093632221222,0.0,8.633500093981624,20.826499906018377,0.0,569.7246712018473
62.75,63.09534354,28.07,31.91367603,0.0,0.0,0.0,28.07,0.0,0.0
58.65,58.80213862,25.93,29.36570087,0.0,0.0,0.0,25.93,0.0,0.0
54.91,47.13727199,23.46,25.00305726,0.0,0.0,0.0,23.46,0.0,0.0
55.26,42.90344333,28.28,27.13701181,0.5,10.78,0.0,39.06,0.0,-595.7027999999999
54.2,44.05515003,26.75,25.60515734,0.7374449372291565,10.78,0.0,37.53,0.0,-584.276
52.7,41.10857634,25.94,25.26313199,0.974889874458313,1.1399996995925905,0.0,27.07999969959259,0.0,-60.077984168529525
49.97,40.09653982,25.71,24.70329009,1.0,0.0,0.0,25.71,0.0,0.0
49.43,41.50442352,25.94,25.51865002,1.0,0.0,0.0,25.94,0.0,0.0
54.83,44.38070047,27.52,25.96447335,1.0,0.0,0.0,27.52,0.0,0.0
62.9,47.823592,32.56,32.65666667,1.0,0.0,0.0,32.56,0.0,0.0
66.69,52.68966498,39.06,38.2113038,1.0,0.0,0.0,39.06,0.0,0.0
79.2,64.89434128,43.42,41.32173707,1.0,0.0,1.530384604126215,41.88961539587379,0.0,121.20646064679623
80.08,65.34984196,44.75,41.5234966,0.962649405002594,0.0,3.6818112322986125,41.068188767701386,0.0,294.83944348247286
73.25,61.40948873,44.39,40.85685583,0.872791051864624,0.0,3.421508182168007,40.968491817831996,0.0,250.62547434380653
74.7,65.01110715,43.98,39.7731674,0.7892856597900391,0.0,4.491350421220065,39.488649578779935,0.0,335.50387646513883
66.92,53.23457393,41.52,38.88298378,0.6796696782112122,0.8960654497146607,0.0,42.416065449714665,0.0,-59.964699894905095
63.03,55.08223214,40.86,36.53264045,0.6994068026542664,0.8671621203422547,0.0,41.72716212034226,0.0,-54.657228445172315
