method,stress_regime,n_days,mean_day_profit,std_day_profit,median_day_profit,p5_day_profit,total_profit
GPT-4,High Vol,18,437.39444444444445,1328.5049915699014,728.48,-2064.2385,7873.1
GPT-4,Normal,327,835.890244648318,1241.6394775167873,660.4300000000001,-45.959999999999994,273336.11
GPT-4,Spike + High Vol,19,1219.6542105263159,1729.46589139639,758.9,96.12000000000009,23173.43
HeurQuantile,High Vol,18,1344.0927797606814,1897.875770559127,1405.1031322282643,-574.976020652083,24193.670035692267
HeurQuantile,Normal,327,270.5620933280741,561.5320988660193,198.08993593267553,-500.1248195266217,88473.80451828025
HeurQuantile,Spike + High Vol,19,2437.4169943738552,5987.9167873448405,374.4757111026746,-2660.0576094112002,46310.92289310325
HeurTime,High Vol,18,367.3515209971989,1937.9661363295043,296.07860598222936,-1805.628274898066,6612.32737794958
HeurTime,Normal,327,457.22423227390783,496.95331937098626,429.3499805756933,-316.72520623026395,149512.32395356786
HeurTime,Spike + High Vol,19,5290.752580620098,3375.9585760366167,5259.501808776406,494.6850542303249,100524.29903178186
MILP,High Vol,18,1661.3243960898606,2036.8200082401565,1532.1065285926695,-1012.2363310828094,29903.83912961749
MILP,Normal,327,734.1057608918894,557.4526318945663,681.308512518186,0.0,240052.58381164784
MILP,Spike + High Vol,19,4647.049761843733,5756.669051297302,4360.302221563432,-2273.1254653612705,88293.94547503092
MILP(BC),High Vol,18,1160.1206809686064,1703.1887707866958,514.8295457539367,0.0,20882.172257434915
MILP(BC),Normal,327,644.531465207403,921.9664848944886,572.4114536119273,0.0,210761.78912282077
MILP(BC),Spike + High Vol,19,1991.915682792822,2782.027904280852,529.2789311450956,-609.2948588143202,37846.39797306362
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",High Vol,18,1628.164821121463,1997.6247262711208,784.5272651779834,-179.4744106804105,29306.966780186336
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",Normal,327,877.0128456330333,1058.2742210883998,700.2617907084068,145.2467077840115,286783.2005220019
"MILP(CVaR$_{\beta=0.95,\lambda=0.5}$)",Spike + High Vol,19,3965.4716998661247,3958.375177392225,2563.7267504167057,621.5142480886459,75343.96229745637
MILP(Stoch),High Vol,18,1069.3392016638993,1668.9793575207234,616.7047108623565,0.0,19248.105629950187
MILP(Stoch),Normal,327,650.8566728528865,660.6634718517274,599.8867576612724,0.0,212830.1320228939
MILP(Stoch),Spike + High Vol,19,2267.909700920691,3332.022168593192,777.4625044658268,-153.6377820027864,43090.28431749313
RL-PPO,High Vol,18,2220.2240625077675,1602.0618670118115,1877.2842128128252,384.16826593193343,39964.03312513982
RL-PPO,Normal,327,712.6872187523354,495.8325995515338,612.4496731452989,150.8485499345729,233048.72053201369
RL-PPO,Spike + High Vol,19,4970.4274528519345,3929.8870787570227,4429.3622547230225,517.4981709776314,94438.12160418676
