prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
65.1,65.1,28.68,28.68,0.2,0.0,0.0,28.68,0.0,0.0
62.12,62.12,27.12,27.12,0.2,0.0,0.0,27.12,0.0,0.0
59.05,59.05,25.99,25.99,0.2,3.9800000000000093,0.0,29.970000000000006,0.0,-235.01900000000055
59.0,59.0,25.62,25.62,0.28766519823788567,10.78,0.0,36.4,0.0,-636.02
56.63,56.63,25.66,25.66,0.5251101321585905,10.78,0.0,36.44,0.0,-610.4714
56.63,56.63,26.06,26.06,0.7625550660792952,10.78,0.0,36.839999999999996,0.0,-610.4714
61.66,61.66,28.58,28.58,1.0,0.0,0.0,28.58,0.0,0.0
66.61,66.61,32.44,32.44,1.0,0.0,0.0,32.44,0.0,0.0
73.0,73.0,35.25,35.25,1.0,0.0,10.78,24.47,0.0,786.9399999999999
73.0,73.0,36.63,36.63,0.7369031203094684,0.0,10.78,25.85,0.0,786.9399999999999
65.0,65.0,36.22,36.22,0.4738062406189367,0.0,0.0,36.22,0.0,0.0
63.82,63.82,35.17,35.17,0.4738062406189367,0.0,0.0,35.17,0.0,0.0
62.19,62.19,33.26,33.26,0.4738062406189367,0.0,0.0,33.26,0.0,0.0
59.5,59.5,31.54,31.54,0.4738062406189367,10.78,0.0,42.32,0.0,-641.41
56.99,56.99,31.52,31.52,0.7112511745396415,10.78,0.0,42.3,0.0,-614.3522
61.92,61.92,32.14,32.14,0.9486961084603462,2.3291966759002807,0.0,34.46919667590028,0.0,-144.22385817174538
65.63,65.63,33.53,33.53,1.0,0.0,0.0,33.53,0.0,0.0
82.47,82.47,37.37,37.37,1.0,0.0,10.78,26.589999999999996,0.0,889.0265999999999
82.79,82.79,38.78,38.78,0.7369031203094684,0.0,10.78,28.0,0.0,892.4762000000001
83.5,83.5,38.96,38.96,0.4738062406189367,0.0,10.78,28.18,0.0,900.13
78.62,78.62,36.4,36.4,0.2107093609284051,0.0,8.633500000000007,27.766499999999994,0.0,678.7657700000005
72.94,72.94,33.51,33.51,0.0,0.0,0.0,33.51,0.0,0.0
64.53,64.53,30.89,30.89,0.0,0.0,0.0,30.89,0.0,0.0
60.32,60.32,28.02,28.02,0.0,0.0,0.0,28.02,0.0,0.0
