prices_actual,prices_forecast,actual_demand,forecast_demand,soc,charge_MW,discharge_MW,import_MW,export_MW,profit_step
65.1,55.67568033,28.68,27.21163527,0.800000011920929,0.0,7.188362082868815,21.491637917131186,0.0,467.9623715947598
62.12,53.07239038,27.12,25.61946785,0.6245607137680054,10.78,0.0,37.9,0.0,-669.6536
59.05,51.00181992,25.99,24.58397957,0.8620056509971619,6.264943444728852,0.0,32.25494344472885,0.0,-369.94491041123865
59.0,47.36623821,25.62,24.22109296,1.0,0.0,0.0,25.62,0.0,0.0
56.63,47.40726052,25.66,24.17771765,1.0,0.0,0.0,25.66,0.0,0.0
56.63,55.01003384,26.06,24.83470126,1.0,0.0,0.0,26.06,0.0,0.0
61.66,68.31150847,28.58,26.19666667,1.0,0.0,3.6945034024119376,24.88549659758806,0.0,227.80307979272007
66.61,73.14173882,32.44,27.95922048,0.9098318815231323,0.0,7.239294391453266,25.20070560854673,0.0,482.2093994147021
73.0,83.79392558,35.25,34.90610052,0.733149528503418,0.0,10.779999561637641,24.47000043836236,0.0,786.9399679995478
73.0,65.41623894,36.63,34.65840509,0.47005265951156616,0.0,6.2744012819528585,30.355598718047144,0.0,458.03129358255865
65.0,65.25547287,36.22,34.97362482,0.3169195055961609,10.78,0.0,47.0,0.0,-700.6999999999999
63.82,59.10891214,35.17,33.81940341,0.5543644428253174,10.78,0.0,45.95,0.0,-687.9796
62.19,56.47060763,33.26,34.18180884,0.7918093800544739,9.451854145526887,0.0,42.711854145526885,0.0,-587.8108093103172
59.5,51.56733,31.54,36.3375,1.0,0.0,0.0,31.54,0.0,0.0
56.99,55.1069477,31.52,37.42111111,1.0,0.0,0.0,31.52,0.0,0.0
61.92,62.44495389,32.14,34.66035584,1.0,0.0,0.0,32.14,0.0,0.0
65.63,69.66330869,33.53,35.169247,1.0,0.0,0.0,33.53,0.0,0.0
82.47,80.99666667,37.37,37.80389646,1.0,0.0,10.779999561637641,26.590000438362356,0.0,889.0265638482563
82.79,74.2241846,38.78,39.1927837,0.7369031310081482,0.0,10.78,28.0,0.0,892.4762000000001
83.5,74.52112903,38.96,39.48984687,0.473806232213974,0.0,10.779999561637641,28.18000043836236,0.0,900.129963396743
78.62,68.36196225,36.4,37.932,0.2107093632221222,0.0,8.633500093981624,27.766499906018375,0.0,678.7657773888353
72.94,64.14167772,33.51,35.10596615,0.0,0.0,0.0,33.51,0.0,0.0
64.53,63.01678135,30.89,32.22280021,0.0,0.0,0.0,30.89,0.0,0.0
60.32,57.17275082,28.02,30.26906953,0.0,0.0,0.0,28.02,0.0,0.0
